benchmark,detailed_runs,task_records,binary_records,native_records,cost_records,input_tokens_records,output_tokens_records,reasoning_tokens_records,cache_read_tokens_records,cache_write_tokens_records,duration_seconds_records,tool_calls_records,turns_records,unpriced_zero_cost_records,invalid_negative_telemetry_records,binary_share,native_share,cost_share,input_tokens_share,output_tokens_share,reasoning_tokens_share,cache_read_tokens_share,duration_seconds_share,tool_calls_share
swebench,54,25621,25621,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terminal-bench,129,9941,9869,9869,0,0,0,0,0,0,0,0,0,0,0,0.9927572678804949,0.9927572678804949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legal-research,25,4782,4779,4779,4570,4778,4778,3739,4778,1039,4778,4778,4778,0,0,0.9993726474278545,0.9993726474278545,0.9556670849017148,0.999163529903806,0.999163529903806,0.7818904224173986,0.999163529903806,0.999163529903806,0.999163529903806
vcb,76,3309,0,3309,2284,3191,3191,97,2290,2290,2841,3191,3191,557,0,0.0,1.0,0.690238742822605,0.9643396796615291,0.9643396796615291,0.02931399214264128,0.6920519794499849,0.8585675430643699,0.9643396796615291
tax-eval-v3,10,570,0,570,65,65,65,48,65,17,570,570,570,0,0,0.0,1.0,0.11403508771929824,0.11403508771929824,0.11403508771929824,0.08421052631578947,0.11403508771929824,1.0,1.0
fabv2-internal,1,449,0,449,449,449,449,449,449,0,449,449,449,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
snap-pilot,1,230,0,230,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
web-search,1,208,203,208,207,207,208,208,208,0,208,208,208,0,1,0.9759615384615384,1.0,0.9951923076923077,0.9951923076923077,1.0,1.0,1.0,1.0,1.0
programbench,1,199,199,199,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
srebench,1,176,176,176,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fabv2-refactor,1,126,0,124,124,124,124,124,124,0,124,124,124,0,0,0.0,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841,0.9841269841269841
harvey-legal-agent,1,119,119,119,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emb,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proof-bench,1,99,99,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skillsbench,1,87,87,87,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vcb-1-100,1,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyberbench,1,58,58,58,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
valsmith,1,45,45,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aime-2026,1,29,29,29,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social-mobility,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platformbe,1,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen-sonnet-self-consistency,1,14,14,14,14,14,14,0,14,14,14,14,14,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
harbor,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fabv2,1,10,0,10,10,10,10,10,10,0,10,10,10,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
financial-health,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ioi,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueprint,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-fabv2-matrix-smoke-1783994758,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
persona_eval,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
swesmith,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-m2q35h5-20260714221851,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harvey,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-gptoss-h0-20260714233201,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-nanochat-agentic-fv-real-20260701235005,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-fabv2-autoresearch-20260715133143,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi-gpu-shell-fabv2-matrix-h2-smoke-20260713202549,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
progbench10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fab,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
progbench7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
