benchmark,agent,dataset,total_tasks,profile_runs,valid_evaluation_runs,all_task_error_runs,profile_models,models_with_ge3_runs,median_run_sd,median_run_sd_c4_corrected,median_run_sd_ci_low,median_run_sd_ci_high,p90_run_sd,operational_models_with_ge3_runs,operational_median_run_sd_including_all_errors,raw_mixed_config_median_run_sd,median_adjacent_model_gap,median_adjacent_gap_ci_low,median_adjacent_gap_ci_high,noise_to_adjacent_gap_ratio,adjacent_pairs,adjacent_pairs_below_median_run_sd,share_adjacent_pairs_below_median_run_sd,top10_adjacent_pairs,top10_median_adjacent_gap,top10_adjacent_pairs_below_median_run_sd,top10_share_adjacent_pairs_below_median_run_sd,median_other_models_within_one_median_sd,full_taskset_result_runs,unique_full_tasksets,model_cells_with_multiple_full_tasksets,share_multi_result_model_cells_taskset_stable
terminal-bench,terminus2,terminal-bench-2.1,89,314,264,50,72,66,0.027535890377773674,0.029884184090313196,0.02338950561197903,0.037520516116865577,0.07417158625524521,67,0.042538639294384076,0.06764460619410498,0.003745318352059962,0.0037453183520599342,0.0074906367041198425,7.352082730865498,71,65,0.9154929577464789,9,0.011235955056179692,8,0.8888888888888888,7.0,75,1,6,1.0
fabv2-internal,fabv2_agent,test,450,133,133,0,48,36,0.008672372636104823,0.009785724611869877,0.007326480784029048,0.013252008213465956,0.01808965538325901,36,0.008672372636104823,0.016638518382157127,0.006208457969405057,0.005050759538383007,0.0073795461141087535,1.3968641937888286,47,35,0.7446808510638298,9,0.010113312740575808,4,0.4444444444444444,1.0,0,0,0,
proof-bench,proof_bench_agent,default,100,87,73,14,50,3,0.17253019059476712,0.18726459354532574,0.019493588689617928,0.1901626098417304,0.18663612599233773,7,0.09073771725877468,0.08000972034075349,0.010000000000000009,0.009999999999999972,0.010000000000000009,17.253019059476696,49,49,1.0,2,0.3245,1,0.5,1.0,0,0,0,
cyberbench,mini_sweagent_poc_agent,poc_l0,60,86,86,0,32,12,0.08649220506064936,0.09128877817208325,0.04102426016298326,0.19197586630263014,0.2446105571224427,12,0.08649220506064936,0.20783997618435587,0.01949688803249039,0.011862817559413128,0.02298850574712663,4.436205660950368,31,29,0.9354838709677419,9,0.016760217183945936,8,0.8888888888888888,3.5,0,0,0,
swebench,mini_sweagent,default,500,71,70,1,58,2,0.03861177994109968,0.04356872809001329,0.019731531449265007,0.05749202843293436,0.053715978734567425,3,0.05749202843293436,0.16581155364424058,0.006000000000000116,0.005999999999999894,0.006000000000000116,6.435296656849823,57,52,0.9122807017543859,1,0.2039999999999999,0,0.0,0.0,37,1,0,
vcb,openhands,default,50,70,64,6,50,2,0.028618572778054956,0.03229260131476397,0.01512310343783228,0.042114042118277635,0.0394149482502331,2,0.0261177712458786,0.22159206639142293,0.010940151635803863,0.007110203805855919,0.01159289744072367,2.615921033890872,49,38,0.7755102040816326,1,0.016074119385713584,1,1.0,1.0,30,2,2,1.0
skillsbench,openhands_skillsbench,with-skills,87,60,60,0,19,16,0.02359782806624971,0.02662729757865796,0.01716172941671027,0.037374400685287544,0.10886123285558723,16,0.02359782806624971,0.21063226480663239,0.013951558565955147,0.01072669885057475,0.02158818839627812,1.6914116049968473,18,12,0.6666666666666666,9,0.012517241379310207,6,0.6666666666666666,1.0,1,1,0,
cpse-bench,mini_sweagent_cpse,default,1,59,59,0,5,5,0.3892494720807615,0.3981850015983366,0.0,0.49236596391733095,0.4708311822118044,5,0.3892494720807615,0.4148511169990534,0.08333333333333337,0.04166666666666663,0.24695512820512805,4.670993664969136,4,3,0.75,4,0.08333333333333337,3,0.75,3.0,1,1,0,
programbench,programbench_agent,default,200,52,51,1,46,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.5,0.0,0.0,0.0,,45,0,0.0,0,,0,,0.0,0,0,0,
harvey-legal-agent,harvey-labs,default,120,43,43,0,37,1,0.01102396379610246,0.011965431049596992,0.01102396379610246,0.01102396379610246,0.01102396379610246,1,0.01102396379610246,0.010266634058449471,0.004166666666666652,0.003645833333333324,0.004166666666666664,2.6457513110645996,36,31,0.8611111111111112,0,,0,,0.0,0,0,0,
ioi,ioi_agent,ioi2025,6,43,37,6,26,3,0.05287126223545613,0.059658830844532426,0.03705289012569285,0.08097210310644946,0.0753519349322508,5,0.03705289012569285,0.09200477328311996,0.028749999999999998,0.018333333333333313,0.0325,1.8390004255810828,25,19,0.76,2,0.2582638888888889,0,0.0,0.0,1,1,0,
code-migration,mini_swe_code_migration,test_full,130,31,31,0,21,2,5.6577439629237376e-05,6.384080420523553e-05,0.0,0.00011315487925847475,0.00010183939133262729,2,5.6577439629237376e-05,0.15373260123092441,0.01180516749999999,0.0071806325000000025,0.01180516749999999,0.004792599480628922,20,4,0.2,1,6.532999999999999e-05,0,0.0,0.0,0,0,0,
web-search,web_search_agent,legal-test,208,15,15,0,5,4,0.033824682240061216,0.0374365492290078,0.01688406050136656,0.10134238303693828,0.08113832362373971,4,0.033824682240061216,0.20219458908635968,0.04166666666666666,0.02382812499999997,0.07423377403846146,0.8117923737614694,4,2,0.5,3,0.03044871794871795,2,0.6666666666666666,1.0,1,1,0,
blueprint,claude_code,default,5,12,12,0,4,4,0.17320508075688773,0.195441004761168,0.11547005383792512,0.23094010767585033,0.2309401076758503,4,0.17320508075688773,0.319424122290788,0.13333333333333333,0.06666666666666662,0.20000000000000004,1.299038105676658,3,2,0.6666666666666666,3,0.13333333333333333,2,0.6666666666666666,1.0,1,1,0,
platformbe,mini_sweagent,default,14,12,12,0,6,3,0.14285699999999998,0.16119686267376365,0.0,0.21821767201810216,0.20314553761448173,3,0.14285699999999998,0.39961707691651516,0.142857,0.09523799999999999,0.142857,0.9999999999999998,5,2,0.4,2,0.1309525,1,0.5,1.0,1,1,0,
fab,finance-agent,default,337,9,9,0,4,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.4409585518440984,0.03551654763775372,0.0,0.23283153808646775,0.0,3,0,0.0,0,,0,,0.0,0,0,0,
kspbench,opencode_thinking,warmup,1,7,7,0,4,1,0.0,0.0,0.0,0.0,0.0,1,0.0,0.14433756729740643,0.0,0.0,0.0,,3,0,0.0,0,,0,,0.0,1,1,0,
