alibaba/qwen3.7-max,anthropic/claude-haiku-4-5-20251001-thinking,anthropic/claude-opus-4-8,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-5,deepseek/deepseek-v4-pro,google/gemini-3.1-pro-preview,google/gemini-3.5-flash,grok/grok-4.3,grok/v9-potato,grok/v9m-exp-0805-row17-47p8-api-high,kimi/kimi-k2.6,meta/super_nova_vals,minimax/MiniMax-M3,openai/gpt-5.4-mini-2026-03-17,openai/gpt-5.5,openai/gpt-5.6-luna,openai/kindle-alpha,openai/nova-alpha,poolside/laguna-m.1:fast,poolside/laguna-xs.2:fast,zai/glm-5.1,zai/glm-5.2
1.000000000000000000e+00,2.853935319608809085e-01,2.897701147323648030e-01,4.535655267976762550e-01,4.507501232240574418e-01,3.487007147639018534e-01,3.589553584855499357e-01,5.056841856969086502e-01,4.194852537747693622e-01,4.957594612039256110e-01,3.298710144287770318e-01,3.171845122935040284e-01,3.351351607746825834e-01,3.435922458512672972e-01,4.012717360690275514e-01,4.190413222695196227e-01,3.062176339565491623e-01,3.774290098737584365e-01,3.927124774264095786e-01,2.154167369215938543e-01,1.823666400598918380e-01,4.404572808238182424e-01,5.275329507985142552e-01
2.853935319608809085e-01,1.000000000000000000e+00,3.165104347820371089e-01,3.234627715162319284e-01,2.906591794880898361e-01,2.736605599985050818e-01,3.013818905575516016e-01,2.763800826099425123e-01,3.254818219536805279e-01,3.673065535466780163e-01,2.734343708098654346e-01,2.834599685337525488e-01,3.551058687297763417e-01,3.209006255334779234e-01,3.878653895871097546e-01,2.685663272412833757e-01,2.728370139095867564e-01,3.041957375259751739e-01,2.985823140512908203e-01,3.448704736047381592e-01,2.793721183078313186e-01,3.150630189063022835e-01,4.064448813821867068e-01
2.897701147323648030e-01,3.165104347820371089e-01,1.000000000000000000e+00,4.389871454628777037e-01,2.427354722866466308e-01,1.971640363593481216e-01,4.851609321843342593e-01,3.726326432865255667e-01,2.289525855432535673e-01,3.622532574143345618e-01,3.564184331934599492e-01,2.423384014826456545e-01,3.094703706312769698e-01,1.607610132625033050e-01,3.693204879463766743e-01,2.942881002736221219e-01,2.997378884194639714e-01,3.827592367118773931e-01,3.038168171030810605e-01,1.732337799986727878e-01,2.118256661296687160e-01,2.693818938428256815e-01,4.114787561649503878e-01
4.535655267976762550e-01,3.234627715162319284e-01,4.389871454628777037e-01,1.000000000000000000e+00,5.212578581883172690e-01,4.077267833574805267e-01,4.869649138916455899e-01,4.893506429318932871e-01,3.122561523647054416e-01,5.924520139336714175e-01,4.146379406251528565e-01,3.332211706943359331e-01,5.305661858502600525e-01,4.289705487112133175e-01,3.809223037485737762e-01,4.873325756497459693e-01,4.347659475400754148e-01,4.762139915350500075e-01,4.174515469107005772e-01,2.005479803532562444e-01,1.259107170344400395e-01,4.629646210452550426e-01,5.728486746190886159e-01
4.507501232240574418e-01,2.906591794880898361e-01,2.427354722866466308e-01,5.212578581883172690e-01,1.000000000000000000e+00,3.372951121456924661e-01,3.917320510871993289e-01,5.102465805334495119e-01,4.388095256947419087e-01,5.272176335655365254e-01,4.890625342667961895e-01,3.868013379076196134e-01,4.610124602424920393e-01,3.764748902961697063e-01,3.459746665186372860e-01,4.197133564748226631e-01,5.102894737594690922e-01,4.520462272794899539e-01,4.648773915044184246e-01,1.850844965936874198e-01,1.162022257068876102e-01,4.315754805752974876e-01,4.488981226355724385e-01
3.487007147639018534e-01,2.736605599985050818e-01,1.971640363593481216e-01,4.077267833574805267e-01,3.372951121456924661e-01,1.000000000000000000e+00,3.326821850638107536e-01,3.022434635670918635e-01,2.864051826635387599e-01,4.049449015360229720e-01,3.390293199213434416e-01,3.455138853378258990e-01,3.098817635266689630e-01,3.553610381723223965e-01,2.859231601543201218e-01,4.445761116604037277e-01,3.769269222688613197e-01,4.117150139769729100e-01,3.967407046382518954e-01,1.524102189511692129e-01,-5.030065534577238262e-02,4.559137616962341544e-01,3.940611796818953572e-01
3.589553584855499357e-01,3.013818905575516016e-01,4.851609321843342593e-01,4.869649138916455899e-01,3.917320510871993289e-01,3.326821850638107536e-01,1.000000000000000000e+00,4.004414715262118452e-01,3.869485711944500306e-01,4.610549412853848783e-01,3.253331139009884576e-01,4.515928512990294852e-01,3.854477982920843093e-01,3.975085100857810860e-01,4.284998972844890619e-01,3.714861332031823560e-01,3.517196364351457549e-01,3.266567822215237782e-01,3.022476876137654700e-01,3.266991706626426462e-01,2.051126456633116379e-01,3.336292023216461677e-01,4.678861823492370675e-01
5.056841856969086502e-01,2.763800826099425123e-01,3.726326432865255667e-01,4.893506429318932871e-01,5.102465805334495119e-01,3.022434635670918635e-01,4.004414715262118452e-01,1.000000000000000000e+00,2.551378916762467308e-01,5.164447018054681982e-01,4.353334232376341872e-01,2.324254905199887034e-01,4.471162305958628069e-01,3.686339603059176073e-01,3.412356230974136206e-01,3.571647250403667817e-01,4.715201259144456425e-01,4.370885197590959614e-01,4.839347053796079212e-01,2.251886745555225500e-01,1.413809674441861564e-01,3.587460832234464769e-01,4.196895941441117772e-01
4.194852537747693622e-01,3.254818219536805279e-01,2.289525855432535673e-01,3.122561523647054416e-01,4.388095256947419087e-01,2.864051826635387599e-01,3.869485711944500306e-01,2.551378916762467308e-01,1.000000000000000000e+00,4.562607745131353476e-01,3.528505658239558529e-01,4.541230087188131703e-01,3.400716897059725130e-01,3.439162280379955416e-01,3.850075076562767262e-01,3.781126799920456749e-01,2.992207675291702618e-01,3.538569626490163933e-01,3.111931895101920920e-01,2.868720041261347831e-01,9.710392118971895858e-02,3.680242225076280072e-01,3.765833944696874713e-01
4.957594612039256110e-01,3.673065535466780163e-01,3.622532574143345618e-01,5.924520139336714175e-01,5.272176335655365254e-01,4.049449015360229720e-01,4.610549412853848783e-01,5.164447018054681982e-01,4.562607745131353476e-01,1.000000000000000000e+00,5.534630487658831477e-01,3.426140482291525902e-01,5.311947865346788866e-01,4.662368019183937840e-01,3.607229277026468006e-01,5.190843117122865280e-01,5.495046518759781895e-01,5.551805649037041546e-01,5.564338755433914097e-01,1.916950389337378213e-01,1.203394017212298800e-01,4.542922976012604974e-01,5.170405613757841357e-01
