alibaba/qwen3.7-max,anthropic/claude-haiku-4-5-20251001-thinking,anthropic/claude-opus-4-8,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-5,deepseek/deepseek-v4-pro,google/gemini-3.1-pro-preview,google/gemini-3.5-flash,grok/grok-4.3,grok/v9-potato,grok/v9m-exp-0805-row17-47p8-api-high,kimi/kimi-k2.6,meta/super_nova_vals,minimax/MiniMax-M3,openai/gpt-5.4-mini-2026-03-17,openai/gpt-5.5,openai/gpt-5.6-luna,openai/kindle-alpha,openai/nova-alpha,poolside/laguna-m.1:fast,poolside/laguna-xs.2:fast,zai/glm-5.1,zai/glm-5.2
1.000000000000000000e+00,-6.980990594103704538e-02,-7.714546074619425819e-02,-2.991050391415497889e-02,3.218249301214735729e-03,-3.804672391899952683e-02,-7.775650227442958140e-02,1.361609929764220073e-01,7.485555875612161236e-02,-6.261341961143294423e-03,-2.010049584427417990e-01,-1.892402012057664215e-02,-1.436261079853756728e-01,-8.076659960913555591e-02,4.099698020707354812e-02,-5.730384096287166606e-02,-2.515359280494202099e-01,-1.836564456926963185e-01,-1.054935443259040068e-01,-1.510603511602589058e-02,1.774339621275365653e-02,6.522719587164271804e-02,1.190773949849204816e-01
-6.980990594103704538e-02,1.000000000000000000e+00,1.210701279672954933e-01,-1.821700494098572598e-01,-1.871472493097187384e-01,-2.831070147305898149e-03,-1.398760536624249658e-02,-1.475289288538409738e-01,1.058246075818650156e-01,-1.873061313816888063e-01,-2.066587618642010127e-01,1.359150174815407230e-01,-2.647321667517323757e-02,4.336991250328090831e-03,2.099350251249413046e-01,-2.201266036501977885e-01,-2.041963655424919033e-01,-2.339831417422602033e-01,-1.806176669855504291e-01,4.015690429590196286e-01,4.032487036993511742e-01,-2.196562012797943775e-02,-2.313416445008909320e-02
-7.714546074619425819e-02,1.210701279672954933e-01,1.000000000000000000e+00,3.159040672102401970e-02,-2.467008083083614689e-01,-1.382637680397636459e-01,2.364235171071424613e-01,4.149946125532496567e-03,-6.867998318004794878e-02,-1.561233020374727110e-01,-5.897067992535314634e-02,2.413505446986558348e-02,-8.355110481456247407e-02,-2.399931509033578769e-01,1.364387060846010968e-01,-1.665261572081245256e-01,-1.499536206652550274e-01,-7.720404286995667664e-02,-1.548237355111141411e-01,1.485193662661639935e-01,2.225562752110891440e-01,-9.738894520958529810e-02,7.657754902298540695e-03
-2.991050391415497889e-02,-1.821700494098572598e-01,3.159040672102401970e-02,1.000000000000000000e+00,7.130732791039262608e-02,-5.610011927858007258e-02,2.604188695722290531e-02,3.505081896738802827e-02,-2.441400357219268846e-01,1.358170361892207800e-01,-1.230350383868106662e-01,-1.521208185998481621e-01,1.301876347522856470e-01,-3.575652988350416783e-02,-1.511026435330934670e-01,-2.083270056501653096e-03,-9.844215277988285773e-02,-6.190015615166418600e-02,-1.360625820622425597e-01,-2.691769009001161450e-01,-2.591289221641665530e-01,1.301243743131884345e-02,1.378157748033633778e-01
3.218249301214735729e-03,-1.871472493097187384e-01,-2.467008083083614689e-01,7.130732791039262608e-02,1.000000000000000000e+00,-1.371359576567997007e-01,-1.042303576929929643e-01,1.070035830649715552e-01,1.005540922435037114e-02,3.492289533022487763e-02,5.424116802029667339e-02,-3.005216164214810290e-02,3.448787627279881196e-02,-9.080246090648166901e-02,-1.622995801802208926e-01,-9.299425762128293860e-02,8.272796894195230677e-02,-6.928220202197871158e-02,-6.021493694976115876e-03,-2.355616889759370169e-01,-2.208149207975973194e-01,-7.528042830477252485e-03,-6.852868741963538679e-02
-3.804672391899952683e-02,-2.831070147305898149e-03,-1.382637680397636459e-01,-5.610011927858007258e-02,-1.371359576567997007e-01,1.000000000000000000e+00,-4.699144321245122408e-02,-1.499874589436107908e-01,-5.278033120977755621e-02,-1.198572730482154181e-01,-1.248960981378602203e-01,9.498758079778828189e-02,-1.249667311347736204e-01,1.511720071924699358e-04,-4.871376065381317205e-02,4.061784028684654879e-02,-6.606971138718753522e-02,-6.327671220704469968e-02,-4.226785959339166010e-02,3.861998420131396853e-02,1.059713768175784242e-02,1.429598734377715286e-01,-6.314633948655222484e-02
-7.775650227442958140e-02,-1.398760536624249658e-02,2.364235171071424613e-01,2.604188695722290531e-02,-1.042303576929929643e-01,-4.699144321245122408e-02,1.000000000000000000e+00,-4.378187654334802364e-02,4.701838929622157576e-02,-8.356384477463317528e-02,-2.101084686207409236e-01,2.022575614039369696e-01,-5.596010121775767815e-02,1.777295148409429454e-02,1.105577088637592076e-01,-1.434941217393657098e-01,-1.701907252428770112e-01,-2.825211028529821533e-01,-2.678619905459926342e-01,1.327095298487161179e-01,9.582057685479054843e-02,-1.033176011690002116e-01,7.504246768375020735e-03
1.361609929764220073e-01,-1.475289288538409738e-01,4.149946125532496567e-03,3.505081896738802827e-02,1.070035830649715552e-01,-1.499874589436107908e-01,-4.378187654334802364e-02,1.000000000000000000e+00,-2.346841709237930951e-01,4.018709735671308764e-02,-1.909456568420796196e-02,-2.029999613547225634e-01,3.712862456681029905e-02,-6.610588936043157449e-02,-1.105810254814048738e-01,-1.779445633079817790e-01,3.717849090257244193e-02,-7.203910186684096828e-02,5.477569799268938722e-02,-1.186645864025435843e-01,-1.215415064208454909e-01,-9.668780972697647857e-02,-9.128664929670558814e-02
7.485555875612161236e-02,1.058246075818650156e-01,-6.867998318004794878e-02,-2.441400357219268846e-01,1.005540922435037114e-02,-5.278033120977755621e-02,4.701838929622157576e-02,-2.346841709237930951e-01,1.000000000000000000e+00,-6.222134241789504389e-02,-1.221032995719299602e-01,2.741308917578252902e-01,-8.834278838222121844e-02,-1.534434826101025058e-02,1.253503919599460448e-01,-9.072206997577934862e-02,-2.120517127656507128e-01,-1.917759212091423027e-01,-2.049675096370564276e-01,2.269374450835566492e-01,1.793198032332652403e-01,4.580819856128653077e-03,-1.112125853726934760e-01
-6.261341961143294423e-03,-1.873061313816888063e-01,-1.561233020374727110e-01,1.358170361892207800e-01,3.492289533022487763e-02,-1.198572730482154181e-01,-8.356384477463317528e-02,4.018709735671308764e-02,-6.222134241789504389e-02,1.000000000000000000e+00,1.014238958857368866e-01,-2.086012627628998362e-01,9.046952875584589326e-02,-1.987257517091228429e-02,-2.644848151029727257e-01,8.002083618267891857e-03,7.633526505408447238e-02,5.049729938102472115e-02,9.285974758064997892e-02,-3.721121855142794921e-01,-3.551114506288891581e-01,-5.590669494521303962e-02,-2.881009648471604193e-02
