benchmark,model_a,model_b,common_tasks,pass_a,pass_b,only_a,only_b,both,neither,oracle_gain_over_better,b_rescues_a_failure,a_rescues_b_failure
legal-research,anthropic/claude-sonnet-5,grok/v9-potato,205,0.4195121951219512,0.40487804878048783,0.12195121951219512,0.1073170731707317,0.2975609756097561,0.47317073170731705,0.10731707317073175,0.18487394957983194,0.20491803278688525
legal-research,anthropic/claude-sonnet-5,grok/v9m-exp-0805-row17-47p8-api-high,207,0.42028985507246375,0.4830917874396135,0.0966183574879227,0.15942028985507245,0.32367149758454106,0.42028985507246375,0.09661835748792275,0.275,0.18691588785046728
legal-research,anthropic/claude-sonnet-5,openai/kindle-alpha,208,0.4182692307692308,0.4807692307692308,0.10576923076923077,0.16826923076923078,0.3125,0.41346153846153844,0.10576923076923078,0.2892561983471074,0.2037037037037037
legal-research,anthropic/claude-sonnet-5,openai/nova-alpha,208,0.4182692307692308,0.40865384615384615,0.1346153846153846,0.125,0.28365384615384615,0.4567307692307692,0.12499999999999994,0.21487603305785125,0.22764227642276422
legal-research,grok/v9-potato,grok/v9m-exp-0805-row17-47p8-api-high,204,0.4068627450980392,0.4852941176470588,0.07352941176470588,0.15196078431372548,0.3333333333333333,0.4411764705882353,0.0735294117647059,0.256198347107438,0.14285714285714285
legal-research,grok/v9-potato,openai/kindle-alpha,205,0.40487804878048783,0.48292682926829267,0.07317073170731707,0.15121951219512195,0.33170731707317075,0.44390243902439025,0.07317073170731714,0.2540983606557377,0.14150943396226415
legal-research,grok/v9-potato,openai/nova-alpha,205,0.40487804878048783,0.4146341463414634,0.1024390243902439,0.11219512195121951,0.3024390243902439,0.48292682926829267,0.10243902439024394,0.1885245901639344,0.175
legal-research,grok/v9m-exp-0805-row17-47p8-api-high,openai/kindle-alpha,207,0.4830917874396135,0.4830917874396135,0.0821256038647343,0.0821256038647343,0.40096618357487923,0.43478260869565216,0.08212560386473428,0.1588785046728972,0.1588785046728972
legal-research,grok/v9m-exp-0805-row17-47p8-api-high,openai/nova-alpha,207,0.4830917874396135,0.4106280193236715,0.1497584541062802,0.07729468599033816,0.3333333333333333,0.4396135265700483,0.07729468599033823,0.14953271028037382,0.2540983606557377
legal-research,openai/kindle-alpha,openai/nova-alpha,208,0.4807692307692308,0.40865384615384615,0.1201923076923077,0.04807692307692308,0.3605769230769231,0.47115384615384615,0.04807692307692307,0.09259259259259259,0.2032520325203252
