provider_prefix,model_identifiers,benchmarks_reached,finished_runs
openai,55,63,1375
anthropic,32,29,926
google,14,27,729
deepseek,6,19,182
grok,17,18,285
meta,12,18,211
zai,12,18,158
kimi,6,17,236
alibaba,8,15,128
fireworks,3,15,48
minimax,5,14,130
(unprefixed),13,13,38
thinkingmachines,2,13,83
ant,1,12,22
poolside,4,10,65
cursor,2,7,28
xiaomi,2,7,39
cohere,1,6,22
nvidia,1,6,25
mistralai,2,5,27
devin,2,4,11
baseten,2,3,11
arcee-ai,1,3,9
Qwen,2,1,3
openai-codex,2,1,30
xai,1,1,24
