benchmark,score_type,primary_score_representation,model,agent,dataset,total_tasks,runs,valid_evaluation_runs,all_task_error_runs,mean_score,sd_score,sd_score_c4_corrected,run_span_days,largest_14day_window_runs,sd_score_largest_14day_window,sd_score_largest_14day_window_c4_corrected,operational_sd_including_all_errors,sd_ci_low_normal_reference,sd_ci_high_normal_reference,min_score,q25_score,median_score,q75_score,max_score,binomial_reference_sd,observed_to_binomial_ratio,observed_sd_needed_per_system_5pp,observed_sd_needed_per_system_10pp,observed_sd_adequate_5pp,observed_sd_adequate_10pp,cached_detailed_runs,known_contract_hashes,known_taskset_hashes,comparability_status,known_configuration_conflict,analysis_eligible
blueprint,binary task outcome,binary,anthropic/claude-fable-5,claude_code,default,5,3,3,0,0.5333333333333333,0.11547005383792512,0.13029400317411197,0.07635817208333333,3,0.11547005383792512,0.13029400317411197,0.11547005383792512,0.060120438086873215,0.725698653760243,0.4,0.5,0.6,0.6,0.6,0.2231093404090868,0.5175491695067655,84,21,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
blueprint,binary task outcome,binary,anthropic/claude-haiku-4-5,claude_code,default,5,3,3,0,0.13333333333333333,0.11547005383792516,0.13029400317411202,0.08909665748842592,3,0.11547005383792516,0.13029400317411202,0.11547005383792516,0.060120438086873236,0.7256986537602433,0.0,0.1,0.2,0.2,0.2,0.1520233900132184,0.75955452531275,84,21,False,False,1,1,1,metadata matched; contract/task IDs incomplete,False,True
blueprint,binary task outcome,binary,anthropic/claude-opus-4-8,claude_code,default,5,3,3,0,0.3333333333333333,0.23094010767585027,0.260588006348224,0.0891996258912037,3,0.2309401076758503,0.260588006348224,0.23094010767585027,0.12024087617374644,1.4513973075204865,0.2,0.2,0.2,0.4,0.6,0.21081851067789195,1.0954451150103321,335,84,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
blueprint,binary task outcome,binary,anthropic/claude-sonnet-4-6,claude_code,default,5,3,3,0,0.26666666666666666,0.23094010767585033,0.26058800634822404,0.08909601349537037,3,0.23094010767585033,0.26058800634822404,0.23094010767585033,0.12024087617374647,1.4513973075204867,0.0,0.2,0.4,0.4,0.4,0.1977652929892177,1.1677484162422844,335,84,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
blueprint,binary task outcome,binary,cursor/composer-2.5,cursor,default,5,3,3,0,0.26666666666666666,0.11547005383792516,0.13029400317411202,0.08934555997685185,3,0.11547005383792516,0.13029400317411202,0.11547005383792516,0.060120438086873236,0.7256986537602433,0.2,0.2,0.2,0.30000000000000004,0.4,0.1977652929892177,0.5838742081211422,84,21,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
blueprint,binary task outcome,binary,openai/gpt-5.5,factory,default,5,3,3,0,0.3333333333333333,0.23094010767585027,0.260588006348224,0.08930574076388889,3,0.2309401076758503,0.260588006348224,0.23094010767585027,0.12024087617374644,1.4513973075204865,0.2,0.2,0.2,0.4,0.6,0.21081851067789195,1.0954451150103321,335,84,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,openai/gpt-5.5,mini_swe_code_migration,cobol_calibration,1,35,35,0,0.34285714285714286,0.4815939919779354,0.4851476613294137,2.315423103159722,35,0.4815939919779354,0.4851476613294137,0.4815939919779354,0.38954792419550166,0.6309854695794915,0.0,0.0,0.0,1.0,1.0,,,1457,365,False,False,1,1,1,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,openai/gpt-5.5,mini_swe_code_migration,cobol,1,12,11,1,0.34545454545454546,0.4824181513244218,0.4946102559774435,2.176390357650463,11,0.48241815132442184,0.49461025597744357,0.4706539615419715,0.3370737847441836,0.8466117976403608,0.0,0.0,0.0,0.9,1.0,,,1462,366,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,google/gemini-3.5-flash,mini_swe_code_migration,cobol_calibration,1,7,7,0,0.14285714285714285,0.3779644730092273,0.3939720339677266,0.24469873730324077,7,0.37796447300922725,0.39397203396772656,0.3779644730092273,0.243557814839779,0.8323027578640779,0.0,0.0,0.0,0.0,1.0,,,898,225,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,openai/gpt-5.5,mini_swe_code_migration,smoke,1,7,7,0,0.13186813142857143,0.3488902816147806,0.36366649168106435,10.875963211331019,7,0.3488902816147806,0.36366649168106435,0.3488902816147806,0.22482259756423345,0.7682794662366785,0.0,0.0,0.0,0.0,0.9230769200000001,,,765,192,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,openai/gpt-5.5,mini_swe_code_migration,cli,1,7,7,0,0.2857142857142857,0.48795003647426666,0.5086157088094893,0.31406422879629625,7,0.48795003647426666,0.5086157088094893,0.48795003647426666,0.3144317869043779,1.0744982400700258,0.0,0.0,0.0,0.5,1.0,,,1496,374,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,anthropic/claude-sonnet-4-6,mini_swe_code_migration,cobol_calibration,1,5,5,0,0.2,0.44721359549995804,0.4757664309740721,0.1252855828587963,5,0.447213595499958,0.47576643097407206,0.44721359549995804,0.26794048533535575,1.285093146985282,0.0,0.0,0.0,0.0,1.0,,,1256,314,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,google/gemini-3.1-flash-lite,mini_swe_code_migration,smoke,12,5,5,0,0.0,0.0,0.0,9.759674886666666,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1,True,True,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,google/gemini-3.5-flash,mini_swe_code_migration,cobol,5,5,3,2,0.3333333333333333,0.4163331998932266,0.4697817093297287,3.7578876417939817,3,0.4163331998932266,0.4697817093297287,0.3464101615137755,0.2167673222255796,2.6165437066677453,0.0,0.1,0.2,0.5,0.8,,,1089,273,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,openai/gpt-5.5,mini_swe_code_migration,cobol,5,5,3,2,0.19999999999999998,0.34641016151377546,0.39088200952233604,3.1908695491666665,3,0.34641016151377546,0.39088200952233604,0.2683281572999748,0.1803613142606197,2.1770959612807297,0.0,0.0,0.0,0.3,0.6,,,754,189,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,google/gemini-3-flash-preview,mini_swe_code_migration,cli,79,4,4,0,0.09949095250000001,0.020309738841031207,0.022044228757681434,1.2077731881828704,4,0.020309738841031204,0.02204422875768143,0.020309738841031207,0.011505254747665797,0.07572582142849982,0.07102444000000001,0.0932008,0.10434608,0.1106362325,0.11824721,,,3,1,True,True,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,google/gemini-3.1-flash-lite,mini_swe_code_migration,test_full,8,4,4,0,0.013850072500000001,0.0027673032236984205,0.0030036361266169726,0.1429794429513889,4,0.00276730322369842,0.003003636126616972,0.0027673032236984205,0.0015676483485038526,0.010318020896110077,0.01083194,0.0121504325,0.013664570000000001,0.015364210000000001,0.01723921,,,1,1,True,True,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,openai/gpt-5.5,mini_swe_code_migration,test,30,4,2,2,0.0,0.0,0.0,2.226728070138889,2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1,True,True,0,0,0,metadata matched; contract/task IDs incomplete,False,False
code-migration,mixed binary and partial credit,unknown,openai/gpt-5.6-sol,mini_swe_code_migration,dilhan-cobol-1,1,4,4,0,0.8285714300000001,0.19110188440896772,0.2074223449601671,7.874992792037037,4,0.19110188440896772,0.2074223449601671,0.19110188440896772,0.10825721985367098,0.7125324105186049,0.6454545500000001,0.6727272725000001,0.8344155850000001,0.9902597425,1.0,,,230,58,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,anthropic/claude-sonnet-4-6,mini_swe_code_migration,test,30,3,2,1,0.0,0.0,0.0,2.1483124161226854,2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1,True,True,0,0,0,metadata matched; contract/task IDs incomplete,False,False
code-migration,mixed binary and partial credit,unknown,deepseek/deepseek-v4-flash-0731,mini_swe_code_migration,test_full,130,3,3,0,6.532999999999999e-05,0.00011315487925847475,0.00012768160841047105,4.852304617372686,3,0.00011315487925847475,0.00012768160841047105,0.00011315487925847475,5.891502330323142e-05,0.0007111483957523504,0.0,0.0,0.0,9.799499999999999e-05,0.00019598999999999997,,,1,1,True,True,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,google/gemini-3-flash-preview,mini_swe_code_migration,smoke,10,3,3,0,0.0,0.0,0.0,0.08220499466435185,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1,True,True,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,kimi/kimi-k2.6-thinking,mini_swe_code_migration,smoke,1,3,3,0,0.24877757666666667,0.2624707345391338,0.2961665088262152,1.0654558034837962,3,0.2624707345391338,0.2961665088262152,0.2624707345391338,0.13665755770431082,1.6495589321700983,0.0,0.111627905,0.22325581,0.373166365,0.5230769200000001,,,433,109,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,meta/muse_spark_1_1,mini_swe_code_migration,dilhan-cobol-1,21,3,3,0,0.31054545333333333,0.3316572273360194,0.3742351059426247,8.248344576875,3,0.3316572273360194,0.3742351059426247,0.3316572273360194,0.17268007712290748,2.084377683978821,0.06319099,0.12210871000000001,0.18102643000000002,0.43422268500000005,0.68741894,,,691,173,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,openai/gpt-5.4-2026-03-05,mini_sweagent,cli,1,3,2,1,0.0,0.0,0.0,0.06474455847222223,2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1,True,True,0,0,0,metadata matched; contract/task IDs incomplete,False,False
code-migration,mixed binary and partial credit,unknown,openai/gpt-5.5,mini_swe_code_migration,test,1,3,2,1,0.0,0.0,0.0,0.9718496065509259,2,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,1,True,True,0,0,0,metadata matched; contract/task IDs incomplete,False,False
code-migration,mixed binary and partial credit,unknown,openai/gpt-5.5,mini_swe_code_migration,cobol_calibration,2,3,3,0,0.5,0.0,0.0,0.18130847480324075,3,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,,,1,1,True,True,0,0,0,metadata matched; contract/task IDs incomplete,False,True
code-migration,mixed binary and partial credit,unknown,openai/gpt-5.5,mini_swe_code_migration,cobol,2,3,2,1,0.25,0.3535533905932738,0.4431134627263792,0.09063183207175926,2,,,0.2886751345948129,0.1577375570391421,11.281945032438282,0.0,0.125,0.25,0.375,0.5,,,785,197,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,False
code-migration,mixed binary and partial credit,unknown,openai/gpt-5.5,mini_swe_code_migration,smoke,12,3,3,0,0.46558838,0.0685798483955484,0.07738407221210544,7.873261875324074,3,0.0685798483955484,0.07738407221210544,0.0685798483955484,0.0357066649960939,0.4310061526912104,0.38922616,0.43741757000000003,0.48560898,0.50376949,0.52193,,,30,8,False,False,0,0,0,metadata matched; contract/task IDs incomplete,False,True
