benchmark,outcome,profile_agent,profile_dataset,profile_total_tasks,eligible_runs,system_cells,repeated_system_cells,mean_level,sd_level,median_level,p90_level,p99_level,within_run_log_sd,needed_per_system_20pct_difference,needed_per_system_50pct_difference
vcb,duration_seconds,openhands,default,50,42,38,3,102572.44045438094,91310.76584681733,90088.60362899999,187222.6409726,408389.455908249,,,
legal-research,duration_seconds,legal_research_agent,test,208,23,23,0,244362.36817391307,219286.91545170636,189832.63,475904.4612,860023.3469200005,,,
fabv2-internal,duration_seconds,fabv2_agent,test,450,1,1,0,704698.139,,704698.139,704698.139,704698.139,,,
fabv2-refactor,duration_seconds,fabv2_agent,vals_index,126,1,1,0,221225.149,,221225.149,221225.149,221225.149,,,
web-search,duration_seconds,web_search_agent,legal-test,208,1,1,0,23395.896,,23395.896,23395.896,23395.896,,,
vcb,input_tokens,openhands,default,50,38,37,1,160324969.78947368,337681451.54662806,53153898.0,381157862.60000014,1459497539.5400035,,,
legal-research,input_tokens,legal_research_agent,test,208,23,23,0,68626220.69565217,59608563.28731904,58143568.0,116917610.60000001,234004949.44000006,,,
fabv2-internal,input_tokens,fabv2_agent,test,450,1,1,0,228972003.0,,228972003.0,228972003.0,228972003.0,,,
fabv2-refactor,input_tokens,fabv2_agent,vals_index,126,1,1,0,54687212.0,,54687212.0,54687212.0,54687212.0,,,
web-search,input_tokens,web_search_agent,legal-test,208,1,1,0,1194207.0,,1194207.0,1194207.0,1194207.0,,,
vcb,run_cost,openhands,default,50,31,31,0,353.1133733696129,457.191260102037,181.6064961,836.7751320000001,1833.7890535349998,,,
legal-research,run_cost,legal_research_agent,test,208,22,22,0,614.1449117540908,973.2967271807719,289.127504,1481.8100171600015,3882.3880631999973,,,
fabv2-internal,run_cost,fabv2_agent,test,450,1,1,0,1253.963313,,1253.963313,1253.963313,1253.963313,,,
fabv2-refactor,run_cost,fabv2_agent,vals_index,126,1,1,0,131.6992986,,131.6992986,131.6992986,131.6992986,,,
persona_eval,run_cost,social_mobility,financial_health,3,1,1,0,1.328022,,1.328022,1.328022,1.328022,,,
web-search,run_cost,web_search_agent,legal-test,208,1,1,0,31.13878875,,31.13878875,31.13878875,31.13878875,,,
