benchmark,score_type,detailed_runs,system_cells,repeated_cells,between_system_sd,within_run_sd,needed_per_system_5pp,needed_per_system_10pp
aime-2026,binary,1,1,0,,,,
aime-2026,native,1,1,0,,,,
argus,binary,0,0,0,,,,
argus,native,0,0,0,,,,
blueprint,binary,1,1,0,,,,
blueprint,native,0,0,0,,,,
code-migration,binary,0,0,0,,,,
code-migration,native,0,0,0,,,,
cpse-bench,binary,0,0,0,,,,
cpse-bench,native,0,0,0,,,,
cyberbench,binary,1,1,0,,,,
cyberbench,native,1,1,0,,,,
dcf,binary,0,0,0,,,,
dcf,native,0,0,0,,,,
deepmind-formal-conjectures,binary,0,0,0,,,,
deepmind-formal-conjectures,native,0,0,0,,,,
discogen-harness-rsi-local,binary,1,1,0,,,,
discogen-harness-rsi-local,native,1,1,0,,,,
emb,binary,0,0,0,,,,
emb,native,0,0,0,,,,
fab,binary,0,0,0,,,,
fab,native,0,0,0,,,,
fabv2,binary,0,0,0,,,,
fabv2,native,0,0,0,,,,
fabv2-internal,binary,0,0,0,,,,
fabv2-internal,native,1,1,0,,,,
fabv2-refactor,binary,0,0,0,,,,
fabv2-refactor,native,1,1,0,,,,
financial-health,binary,0,0,0,,,,
financial-health,native,0,0,0,,,,
harbor,binary,0,0,0,,,,
harbor,native,0,0,0,,,,
harvey,binary,0,0,0,,,,
harvey,native,0,0,0,,,,
harvey-legal-agent,binary,1,1,0,,,,
harvey-legal-agent,native,1,1,0,,,,
ioi,binary,0,0,0,,,,
ioi,native,1,1,0,,,,
kspbench,binary,1,1,0,,,,
kspbench,native,1,1,0,,,,
legal,binary,0,0,0,,,,
legal,native,0,0,0,,,,
legal-research,binary,23,23,0,,,,
legal-research,native,23,23,0,,,,
osworld-v2,binary,0,0,0,,,,
osworld-v2,native,0,0,0,,,,
persona_eval,binary,1,1,0,,,,
persona_eval,native,1,1,0,,,,
platformbe,binary,1,1,0,,,,
platformbe,native,0,0,0,,,,
pretrainbench,binary,1,1,0,,,,
pretrainbench,native,1,1,0,,,,
progbench10,binary,1,1,0,,,,
progbench10,native,1,1,0,,,,
progbench6,binary,1,1,0,,,,
progbench6,native,1,1,0,,,,
progbench7,binary,1,1,0,,,,
progbench7,native,1,1,0,,,,
programbench,binary,1,1,0,,,,
programbench,native,1,1,0,,,,
proof-bench,binary,1,1,0,,,,
proof-bench,native,0,0,0,,,,
qwen-sonnet-self-consistency,binary,0,0,0,,,,
qwen-sonnet-self-consistency,native,0,0,0,,,,
rsi-gpu-shell,binary,1,1,0,,,,
rsi-gpu-shell,native,1,1,0,,,,
rsi-gpu-shell-assay-mini-20260703004310,binary,1,1,0,,,,
rsi-gpu-shell-assay-mini-20260703004310,native,1,1,0,,,,
rsi-gpu-shell-continual-harness-smoke-20260713a,binary,1,1,0,,,,
rsi-gpu-shell-continual-harness-smoke-20260713a,native,1,1,0,,,,
rsi-gpu-shell-fabv2-autoresearch-20260715133143,binary,1,1,0,,,,
rsi-gpu-shell-fabv2-autoresearch-20260715133143,native,1,1,0,,,,
rsi-gpu-shell-fabv2-autoresearch-full16-20260715160049,binary,1,1,0,,,,
rsi-gpu-shell-fabv2-autoresearch-full16-20260715160049,native,1,1,0,,,,
rsi-gpu-shell-fabv2-hillclimb-arbor-20260715231935,binary,1,1,0,,,,
rsi-gpu-shell-fabv2-hillclimb-arbor-20260715231935,native,1,1,0,,,,
rsi-gpu-shell-fabv2-matrix-h0-20260713203919,binary,1,1,0,,,,
rsi-gpu-shell-fabv2-matrix-h0-20260713203919,native,1,1,0,,,,
rsi-gpu-shell-fabv2-matrix-h2-smoke-20260713202549,binary,1,1,0,,,,
rsi-gpu-shell-fabv2-matrix-h2-smoke-20260713202549,native,1,1,0,,,,
rsi-gpu-shell-fabv2-matrix-smoke-1783994758,binary,1,1,0,,,,
rsi-gpu-shell-fabv2-matrix-smoke-1783994758,native,1,1,0,,,,
rsi-gpu-shell-fhc-aoe-20260715232322,binary,1,1,0,,,,
rsi-gpu-shell-fhc-aoe-20260715232322,native,1,1,0,,,,
rsi-gpu-shell-gemma-harness-20260629010831,binary,1,1,0,,,,
rsi-gpu-shell-gemma-harness-20260629010831,native,1,1,0,,,,
rsi-gpu-shell-gemma-harness-v1-20260629082024,binary,1,1,0,,,,
rsi-gpu-shell-gemma-harness-v1-20260629082024,native,1,1,0,,,,
