alibaba/qwen3.6-27b,alibaba/qwen3.6-max-preview,alibaba/qwen3.6-plus,alibaba/qwen3.7-max,alibaba/qwen3.8-max-cn,anthropic/claude-fruitcake-eap,anthropic/claude-nectarine-v5-p,anthropic/claude-nougat-p,anthropic/claude-queso-eap-max-effort,anthropic/claude-sonnet-5,arcee-ai/trinity-large-thinking,cohere/command-a-plus-05-2026,deepseek/deepseek-reasoner,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro,google/models/ajax,grok/grok-4.3,grok/grok-experimental-0410-1p5m,grok/v9-carrot,grok/v9-potato,kimi/kimi-k2.6-thinking,kimi/kimi-k2.7-code,meta/blue_tower,meta/emerald_lagoon,meta/glassy_lagoon,meta/quiet_sand,meta/super_nova_vals,minimax/MiniMax-M3,mistralai/mistral-medium-3.5,nvidia/nemotron-3-ultra-550b-a55b,openai/crest-alpha,openai/gpt-5-mini-2025-08-07,openai/gpt-5.6-luna,openai/iris-alpha,openai/iris-alpha-code-mode,openai/kindle-alpha,openai/nova-alpha,openai/summit-alpha,poolside/laguna-m.1,poolside/laguna-m.1:fast,poolside/laguna-xs.2,poolside/laguna-xs.2:fast,xiaomi/mimo-v2.5,xiaomi/mimo-v2.5-pro,zai/glm-5-turbo,zai/glm-5.1-thinking,zai/glm-5.2
1.000000000000000000e+00,7.081208861913336206e-01,6.331250974379359908e-01,6.236010267971237031e-01,4.897770620282734244e-01,2.302880401880090522e-01,5.399189160165248635e-01,5.452785412727975123e-01,4.792658545506344181e-01,1.451287748619338736e-01,4.366445100275094249e-01,4.008918628686365948e-01,5.888888888888889062e-01,5.206585338022972076e-01,6.706900706211551544e-01,6.085689664954305744e-01,6.673693747518479880e-01,5.984374119001468761e-01,4.949623446510397207e-01,4.645810519852514031e-01,6.536944280848114852e-01,6.268208273612154713e-01,5.804682547360543454e-01,6.107807457195988388e-01,6.005325641789631685e-01,5.453560884441684964e-01,3.999999999999999667e-01,5.247346970015024370e-01,6.338562626601720318e-01,6.275330467740460882e-01,4.938703943946463615e-01,6.030511209450634125e-01,3.164474369043177582e-01,4.087893752479996312e-01,4.276226125322996618e-01,2.579404525459177422e-01,2.016987246715678250e-01,5.286734197812925640e-01,5.558015465843909597e-01,4.627617612108995138e-01,5.637295497763136209e-01,4.809416188862121744e-01,6.668155998344867941e-01,6.554957999173042227e-01,7.217084905421661256e-01,6.331379995286852136e-01,4.764728647344051438e-01
7.081208861913336206e-01,1.000000000000000000e+00,6.797097100465850916e-01,6.651656597264002935e-01,5.557910310564611045e-01,2.928339283462877973e-01,5.730412877645810754e-01,5.325236850287747847e-01,4.878421337312968120e-01,1.701566459820216259e-01,5.270548726424355568e-01,3.981658078716320270e-01,5.060480768510595695e-01,5.370790798490585605e-01,6.826149314721070560e-01,6.152643842156577669e-01,6.574692889219302394e-01,6.157608447878616387e-01,5.079214723099337858e-01,4.920011127047465571e-01,6.552331864590807964e-01,6.678469630592885897e-01,6.105449987712811000e-01,6.286397136443842015e-01,6.410054158334094199e-01,5.569720156964733659e-01,4.040800624803730923e-01,5.769022619691804854e-01,6.023616695311984071e-01,6.592654266257973461e-01,5.137644249951562880e-01,6.047233999655505787e-01,3.959913201515480874e-01,4.720296143864596838e-01,4.405773015671452519e-01,2.781369453274982750e-01,2.544939193662079102e-01,5.753065115516258210e-01,5.907567656776657739e-01,4.759772667250715128e-01,5.902755860976418578e-01,4.706256210596396206e-01,6.569369079693567759e-01,6.708233597993780162e-01,6.511967494301242887e-01,6.764025191826229522e-01,5.193577673355087576e-01
6.331250974379359908e-01,6.797097100465850916e-01,1.000000000000000000e+00,6.594762189770291272e-01,5.137236360168764282e-01,2.564846036078853864e-01,5.952663773789013124e-01,5.779969044771670061e-01,4.961638006147708335e-01,1.782344792610210393e-01,5.106662484838085936e-01,4.176129537076607723e-01,5.673649067577042349e-01,5.229292642731132590e-01,7.413147285054176860e-01,6.117371657105327154e-01,6.707141079567546793e-01,6.588034830330342650e-01,5.034674749252211479e-01,4.756478923879350895e-01,6.247769627868391407e-01,6.139656586293130713e-01,6.114546686850521606e-01,6.401297338792089064e-01,6.746043398874969066e-01,6.531481520047246470e-01,4.454593119259112610e-01,5.888647020030184365e-01,6.258646926018357481e-01,6.534571756506912799e-01,5.594486724541807288e-01,6.853084354279912471e-01,4.025178543545037679e-01,4.267819927901797539e-01,4.621553127869149069e-01,2.591297385574752310e-01,2.323176643787608908e-01,5.402519678461301655e-01,5.860574312882623760e-01,4.909944491479983353e-01,5.857757072670162213e-01,4.952896082943651357e-01,6.601790676627297128e-01,6.524036950660154766e-01,6.384668388195816613e-01,7.100532833746832084e-01,4.932386563691619208e-01
6.236010267971237031e-01,6.651656597264002935e-01,6.594762189770291272e-01,1.000000000000000000e+00,5.229943515944405208e-01,2.614481697517283543e-01,5.904632130235770715e-01,5.159613616165874550e-01,4.375833709008760120e-01,1.732838147724161393e-01,5.567312429997736123e-01,4.705373645620676282e-01,6.184009646551497097e-01,5.312736759863857516e-01,6.916586055922094856e-01,5.745689129150680641e-01,6.245940503622732232e-01,6.140531458789713071e-01,4.793571642088565454e-01,4.244070146544520750e-01,6.118385648646886832e-01,6.063102956110240083e-01,5.909304185928938580e-01,5.590014364272447578e-01,6.010700512790487782e-01,5.843185368381432765e-01,4.069420597830170627e-01,5.039791454308193419e-01,6.633545296594074436e-01,6.313303768504641145e-01,5.107570557579753645e-01,6.412536772835873977e-01,3.904844911766416349e-01,4.456633223782828779e-01,4.246316749733307638e-01,2.499799761694072586e-01,2.149050144240103044e-01,5.757013917409290471e-01,6.027829922323402201e-01,4.966387612118703387e-01,5.651365792606061200e-01,5.304890582807326727e-01,6.622289068537833279e-01,6.132875540080926502e-01,6.767923140254068493e-01,6.321708314094409698e-01,4.480334957608216873e-01
4.897770620282734244e-01,5.557910310564611045e-01,5.137236360168764282e-01,5.229943515944405208e-01,1.000000000000000000e+00,3.763808810686832262e-01,5.179808459322922110e-01,5.047289784095365661e-01,5.160768930623743644e-01,2.023208203416389794e-01,3.505066141545177816e-01,3.000032450499468539e-01,1.800984890797228677e-01,4.237586578221699818e-01,5.775569660500187164e-01,5.155983856553979505e-01,4.841739705000212557e-01,4.645621448335277015e-01,4.675065324100394770e-01,4.546972750369165372e-01,5.367301947879637991e-01,5.698654877497616456e-01,5.238935390578828288e-01,5.398779624724431292e-01,5.935190480872793994e-01,4.718468875399690621e-01,3.530372731371310135e-01,4.179766690278852725e-01,4.921568106604377602e-01,4.887402858223556801e-01,4.578763151905547168e-01,4.732206174306305413e-01,5.126172975115630415e-01,4.851249136558187236e-01,4.645638629283488918e-01,4.547795109478546260e-01,2.484707930825580391e-01,4.758590697616461584e-01,3.872912307142076793e-01,3.397248423566834319e-01,4.400584405221270035e-01,3.292687580737976849e-01,5.215454097219118790e-01,5.291062215137191105e-01,4.421858433451424930e-01,5.233146230326157777e-01,5.376227253431273834e-01
2.302880401880090522e-01,2.928339283462877973e-01,2.564846036078853864e-01,2.614481697517283543e-01,3.763808810686832262e-01,1.000000000000000000e+00,3.062027371631367845e-01,3.224584637550083066e-01,3.796991781019209422e-01,1.571305620659713964e-01,1.783718199340837418e-01,1.311220136214371057e-01,2.738612787525829262e-01,1.888161490290482525e-01,3.046756519689314269e-01,2.420370335065945844e-01,2.406408864599064445e-01,2.437049328464580278e-01,3.441937404381920085e-01,3.437036757495705586e-01,2.614964999804662571e-01,2.789300427150950279e-01,2.690371344620422489e-01,3.300422098880606003e-01,3.212125841715354757e-01,2.697193730266587708e-01,2.302880401880089967e-01,2.684329613121186897e-01,2.253655356616663108e-01,2.033769190601951160e-01,3.304084871365071674e-01,2.177824295013140732e-01,3.326859263938028444e-01,3.751928785619445539e-01,4.025184422540086238e-01,4.343626116755112676e-01,2.539258457817439862e-01,3.051691006567745501e-01,1.947741613640623370e-01,1.931178243893540425e-01,2.102977560480148722e-01,1.808425909886395011e-01,2.809279820456040411e-01,2.856539766726380880e-01,2.127040034770800447e-01,2.831077809705873638e-01,4.060881065788739530e-01
5.399189160165248635e-01,5.730412877645810754e-01,5.952663773789013124e-01,5.904632130235770715e-01,5.179808459322922110e-01,3.062027371631367845e-01,1.000000000000000000e+00,7.461769053131962481e-01,5.989446133733562494e-01,2.127651745060197275e-01,3.507900727868689672e-01,3.424418597645856321e-01,4.715027198381943618e-01,4.860751543772267036e-01,7.013497305877385291e-01,6.309857232349099787e-01,5.734214045757579647e-01,5.564949229150640830e-01,5.736420537395997554e-01,5.515304016684072774e-01,6.021681296384371329e-01,6.265143853526061735e-01,6.307851104822219668e-01,6.267252776373305467e-01,6.222432136045007445e-01,5.741960887583080764e-01,4.478218727727680259e-01,5.841745128157409539e-01,5.446865041958628417e-01,5.478637202239913240e-01,5.686176282318886610e-01,5.720212720032494813e-01,4.116670559965963094e-01,5.441746984101998308e-01,5.029547132468579207e-01,3.226629521833996872e-01,3.000324030702550271e-01,6.420082822925926580e-01,5.538197984286140629e-01,4.495490098513065247e-01,5.020537389192590849e-01,4.139887933615716831e-01,6.197129094849925801e-01,6.370109693842136434e-01,5.960703684901924593e-01,6.270161996903659274e-01,5.596759390234672393e-01
5.452785412727975123e-01,5.325236850287747847e-01,5.779969044771670061e-01,5.159613616165874550e-01,5.047289784095365661e-01,3.224584637550083066e-01,7.461769053131962481e-01,1.000000000000000000e+00,5.690459600639171667e-01,1.891281942593946996e-01,4.000073723592351693e-01,3.081620779806134580e-01,3.926850052412216852e-01,4.461965663310238916e-01,6.432897494961687945e-01,5.762176237655014521e-01,5.674780947565452038e-01,5.509211326741634274e-01,5.443664089840896114e-01,5.377315134910907179e-01,6.100487025857658230e-01,5.595546272308258295e-01,5.767357365433741778e-01,5.976043927655924071e-01,6.057246022175107880e-01,5.154355803535524139e-01,4.203188755644480801e-01,5.673884404448978902e-01,5.263776691661723461e-01,5.414102841781248676e-01,5.539340515335724469e-01,5.465535273597570409e-01,3.815381145121198858e-01,4.380684236466836357e-01,4.602464009938899703e-01,2.880667615426917294e-01,2.461393991781155310e-01,5.600359633511529101e-01,4.587366705238392628e-01,4.196739153488293073e-01,4.728594457182794253e-01,3.735107594734305425e-01,5.900620838560803882e-01,5.955105964316455003e-01,5.714459528659948662e-01,6.100487025857658230e-01,5.313659282317276800e-01
4.792658545506344181e-01,4.878421337312968120e-01,4.961638006147708335e-01,4.375833709008760120e-01,5.160768930623743644e-01,3.796991781019209422e-01,5.989446133733562494e-01,5.690459600639171667e-01,1.000000000000000000e+00,1.932097340909910976e-01,3.181684765801777726e-01,2.671889068630691755e-01,2.651372262228019472e-01,3.695137954271103808e-01,5.349582075128684888e-01,4.946987200747001712e-01,4.553546502328476575e-01,4.464968939590021613e-01,4.608966527065985752e-01,5.239299769676272200e-01,4.823722721312598272e-01,4.812366449514815514e-01,5.100522208448606820e-01,5.375936802393000979e-01,4.931176902121598982e-01,4.094132610170775344e-01,3.419403947940056199e-01,4.585547606604099546e-01,3.976694848582658093e-01,4.126935934728561683e-01,4.993473715286652070e-01,4.379886939486190567e-01,4.195411152911910357e-01,4.414254287135131460e-01,5.340012086035792471e-01,4.553330203118784447e-01,2.701800408886969040e-01,5.401691189830044593e-01,3.529668971845748016e-01,3.034778713992348220e-01,3.864977329584921018e-01,2.589659651856018319e-01,4.549264337441075168e-01,4.524764424329021928e-01,4.721114897775438579e-01,4.971926073939875179e-01,5.368874298298854653e-01
1.451287748619338736e-01,1.701566459820216259e-01,1.782344792610210393e-01,1.732838147724161393e-01,2.023208203416389794e-01,1.571305620659713964e-01,2.127651745060197275e-01,1.891281942593946996e-01,1.932097340909910976e-01,1.000000000000000000e+00,1.029375885742091351e-01,1.296769319392494513e-01,-1.014301032416975029e-01,6.279089877907965134e-01,1.573130297180705406e-01,2.138058501212957430e-01,1.189253676612386929e-01,1.570216660796905916e-01,2.274959091002507761e-01,2.362638121275748015e-01,1.511078549992430076e-01,1.774723872775420264e-01,1.862504734929024131e-01,2.109974208974438326e-01,1.624648544669009820e-01,1.912786717289781668e-01,6.866540541975079126e-01,1.862894775615783483e-01,1.232334641862432578e-01,1.435850088320767826e-01,2.651316954280033555e-01,2.529893570677961279e-01,1.528939954425135028e-01,2.913226312966935572e-01,2.447301594294616356e-01,1.849281199768725015e-01,7.461397894254968577e-01,2.411362874391539679e-01,1.338014392248708662e-01,5.398322625159047705e-01,1.476540447055987582e-01,4.920757770336727788e-01,1.397892696690926362e-01,1.341641796430470823e-01,7.716339368803004639e-02,1.861731060046366293e-01,2.295745382497681730e-01
