alibaba/qwen3.6-27b,alibaba/qwen3.6-max-preview,alibaba/qwen3.6-plus,alibaba/qwen3.7-max,alibaba/qwen3.8-max-cn,anthropic/claude-fruitcake-eap,anthropic/claude-nectarine-v5-p,anthropic/claude-nougat-p,anthropic/claude-queso-eap-max-effort,anthropic/claude-sonnet-5,arcee-ai/trinity-large-thinking,cohere/command-a-plus-05-2026,deepseek/deepseek-reasoner,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-pro,google/models/ajax,grok/grok-4.3,grok/grok-experimental-0410-1p5m,grok/v9-carrot,grok/v9-potato,kimi/kimi-k2.6-thinking,kimi/kimi-k2.7-code,meta/blue_tower,meta/emerald_lagoon,meta/glassy_lagoon,meta/quiet_sand,meta/super_nova_vals,minimax/MiniMax-M3,mistralai/mistral-medium-3.5,nvidia/nemotron-3-ultra-550b-a55b,openai/crest-alpha,openai/gpt-5-mini-2025-08-07,openai/gpt-5.6-luna,openai/iris-alpha,openai/iris-alpha-code-mode,openai/kindle-alpha,openai/nova-alpha,openai/summit-alpha,poolside/laguna-m.1,poolside/laguna-m.1:fast,poolside/laguna-xs.2,poolside/laguna-xs.2:fast,xiaomi/mimo-v2.5,xiaomi/mimo-v2.5-pro,zai/glm-5-turbo,zai/glm-5.1-thinking,zai/glm-5.2
1.000000000000000000e+00,2.931094679881090515e-01,9.907453742765924554e-02,1.201018379876521297e-01,-7.137338806971660343e-02,-2.085558193080850053e-01,-1.096131692242716948e-01,-2.597664487620171894e-02,-6.353092787589809110e-02,-2.550652347796603103e-01,-5.470294786115215135e-02,-8.038802258251567107e-03,4.844142232387199654e-02,-5.573807172889042039e-02,4.456782686864559084e-02,4.772262343903280885e-02,2.020372635972888242e-01,7.037466347257401167e-02,-1.072268231802336880e-01,-1.206352105232885580e-01,1.471875693225096204e-01,7.280456781366957675e-02,-4.597206710261081408e-02,3.408600320093566061e-02,-1.661880162073896966e-03,-7.612617541444262337e-02,-1.926474287521481588e-01,-6.249890828463757625e-02,1.605382015120198069e-01,1.315798638080344918e-01,-1.643632538737772320e-01,2.356336726766723039e-02,-2.241485280771162159e-01,-2.018762538098287374e-01,-1.518331080610799133e-01,-1.822245028296244351e-01,-2.866285503431977300e-01,-1.133546272206735345e-01,6.826582158794043675e-02,-9.647630928863394628e-02,7.612653775773681186e-02,-1.556684357797977203e-02,1.890940038906922804e-01,1.578358884444724664e-01,3.452480183994567908e-01,4.991533388765741208e-02,-9.812464521896953340e-02
2.931094679881090515e-01,1.000000000000000000e+00,1.666216360415022912e-01,1.752861068095657449e-01,1.628564934458841262e-02,-1.718753717440526518e-01,-9.125884147223183029e-02,-1.090631443222104952e-01,-9.353489619359753315e-02,-2.531000704967806825e-01,9.279549826307234572e-02,-4.463055723917092044e-02,-9.418044789612693701e-02,-6.928633343366906450e-02,3.447649572481074377e-03,7.909925297878747652e-03,1.314624206941100715e-01,6.308641680206426849e-02,-1.345665721116603986e-01,-1.158672558710698713e-01,9.937043751386484547e-02,1.236636956370848195e-01,-3.026845055944377486e-02,2.178022890899814629e-02,4.389658691520376133e-02,-8.885435329011513728e-02,-2.362470113459459453e-01,5.897429411888417509e-03,4.116813884474510715e-02,1.631463039763857981e-01,-1.803252216414283349e-01,-3.029414908080253072e-02,-1.509671514755897836e-01,-1.308408914601518758e-01,-1.773309256594468863e-01,-1.971253257781435120e-01,-2.390309221715453680e-01,-6.100669830514298536e-02,1.047498229091332472e-01,-1.159412874903286983e-01,9.415964117431868674e-02,-7.821981894941226754e-02,1.158961631747175425e-01,1.471349746120368951e-01,1.692055207198960298e-01,1.072966266296006138e-01,-5.790803385003391590e-02
9.907453742765924554e-02,1.666216360415022912e-01,1.000000000000000000e+00,1.499338959395432047e-01,-8.416605270921201365e-02,-2.259843470311112823e-01,-5.109167749237436551e-02,-1.685013110696190544e-02,-8.972552139147049743e-02,-2.499644974552255039e-01,5.163106897356530695e-02,-1.640916081842171831e-02,4.916814761023906993e-02,-1.161193094267547743e-01,1.777870957252608575e-01,-8.463477903350995202e-03,1.531069094190749824e-01,1.571188994185923338e-01,-1.589527993608483847e-01,-1.640633291570383623e-01,4.919647286584037833e-03,-3.394495455915445825e-02,-4.386793629384278664e-02,3.716276922179025111e-02,1.194879112356249662e-01,1.356084543335904780e-01,-1.615591102100732979e-01,2.158951233850028156e-02,8.622251925618448776e-02,1.374038999164083896e-01,-8.684622066182350053e-02,1.673048341255311544e-01,-1.521410040872965275e-01,-2.355870064127026375e-01,-1.471285287386094598e-01,-2.280472571139040283e-01,-2.892121025736562046e-01,-1.639718293647361436e-01,8.417873640852320538e-02,-9.541180400192145195e-02,7.363218364127741000e-02,-3.694311907234891501e-02,1.113085183763108804e-01,8.585452487720980630e-02,1.627668655804532793e-01,1.869906396633040646e-01,-1.273161563138687224e-01
1.201018379876521297e-01,1.752861068095657449e-01,1.499338959395432047e-01,1.000000000000000000e+00,-2.740396237145989108e-02,-2.010969839613401533e-01,-1.094991584200427984e-02,-1.118653635020403908e-01,-1.648559522601356075e-01,-2.325504896492392726e-01,1.446434222271119341e-01,1.035766838457984618e-01,1.861494622739786053e-01,-4.639194563729471393e-02,8.778577192089895287e-02,-4.773304866178585543e-02,8.502456305783027968e-02,9.246644669103866454e-02,-1.643620823685221777e-01,-2.245088484643328608e-01,2.638534955089048145e-02,3.020573642811219105e-03,-3.850827724128738638e-02,-1.153893230136648074e-01,-1.926685708166772995e-02,1.487814564289638951e-02,-1.960758061544730368e-01,-1.268985581755812386e-01,2.173630012308831738e-01,1.276752717114852664e-01,-1.489991366139074291e-01,1.025628455286071716e-01,-1.454317957267373673e-01,-1.563864170867667047e-01,-1.809478804204818492e-01,-2.199754294177859726e-01,-2.846766478696954317e-01,-2.330721981073338722e-02,1.563050171685413936e-01,-3.987920749854732827e-02,6.670178092002594650e-02,7.168664829227694435e-02,1.647761026155001585e-01,3.808062758280574694e-02,2.275810767184008043e-01,2.960873022737905980e-02,-1.779196468452133584e-01
-7.137338806971660343e-02,1.628564934458841262e-02,-8.416605270921201365e-02,-2.740396237145989108e-02,1.000000000000000000e+00,2.784246049736185391e-01,1.994598948080973655e-02,5.863400316603141482e-02,2.365692023639282549e-01,4.313176686650913028e-02,-9.402014111185699741e-02,-4.606511710329518061e-02,-5.667931060510997821e-01,-1.633574944044605681e-01,-8.726984606081412965e-02,-2.171772771414679989e-02,-1.269831604567751848e-01,-1.198897404697494284e-01,7.223730887401037803e-02,7.330722321304887490e-02,-2.006541371688491324e-02,5.493920725204035072e-02,-5.491496203683894628e-02,-2.486501335318640378e-03,9.493985549196233553e-02,-9.663163336274932513e-02,-1.408823016614147439e-01,-1.513481380738626036e-01,-7.375481611718061326e-02,-9.211263317198527256e-02,-4.874522204922816099e-02,-1.639350220229381372e-01,3.393660520461355690e-01,1.646669294085450486e-01,1.292881318987731398e-01,3.506961909263396904e-01,-2.941038390055475404e-02,-6.253655909974614735e-02,-1.671369745716978217e-01,-2.267728078712440420e-01,-8.435942439354336686e-02,-1.927735086646228668e-01,-6.810251693371018045e-02,-4.165993564966730817e-02,-1.421693070341505660e-01,-1.102521091080951171e-01,1.924160061779842668e-01
-2.085558193080850053e-01,-1.718753717440526518e-01,-2.259843470311112823e-01,-2.010969839613401533e-01,2.784246049736185391e-01,1.000000000000000000e+00,1.485390749241386962e-02,8.464018261955254252e-02,3.783536683662207523e-01,2.829929162532596187e-01,-7.321029238934646799e-02,4.553110471875264527e-03,-2.848252773076200284e-01,-2.399335093659310802e-01,-2.696624977681368884e-01,-1.396177102075209508e-01,-2.361724315725679257e-01,-1.832874656200754460e-01,2.401079281788705277e-01,2.372138847384035742e-01,-1.835408100014768451e-01,-1.429598658810184442e-01,-1.760428048011017099e-01,-6.727174246892968223e-02,-1.045871868812694450e-01,-1.397072760278481041e-01,-3.596388223738848644e-02,-8.183366385187103298e-02,-2.347452967104489696e-01,-2.634243523384038332e-01,8.594120446351435905e-02,-2.589693218164259569e-01,5.199767988764829596e-01,3.273761353249409756e-01,3.287212449738631803e-01,7.067539811727184818e-01,2.343764883559185108e-01,-9.656341502518608899e-03,-1.692832840448833809e-01,-1.616354423371821614e-01,-1.672926513945366955e-01,-1.295743596020288435e-01,-2.079822391474011600e-01,-1.742696932518558173e-01,-2.409561750019777460e-01,-2.215844936122864928e-01,2.472406078544459873e-01
-1.096131692242716948e-01,-9.125884147223183029e-02,-5.109167749237436551e-02,-1.094991584200427984e-02,1.994598948080973655e-02,1.485390749241386962e-02,1.000000000000000000e+00,4.288548231390848509e-01,2.221225016857236167e-01,-8.731019032802543600e-02,-2.696345625264481294e-01,-1.023544711656742129e-01,-9.794580551308247618e-02,-1.833806397736877647e-01,6.804217805806998809e-02,7.998675914861952396e-02,-8.050801364055683307e-02,-7.292421817683764074e-02,9.320416397919620288e-02,8.678128892033525055e-02,-2.697665519775536286e-02,3.233373773842652954e-02,3.534886848066681742e-02,3.731788650532594231e-02,9.488420622646544580e-03,-3.116623424364977496e-02,-1.117493011549147292e-01,4.396980374526616997e-02,-9.909459935448003409e-02,-1.095016139374821174e-01,3.188012706683441416e-03,-1.077734295072347581e-01,2.249686570938848676e-02,1.051347010742791771e-01,3.315087262108574323e-02,3.341292977644280682e-02,-8.304954404090052200e-02,1.384592643759381958e-01,3.198174673467105156e-02,-1.608360652130163271e-01,-9.400898599528068056e-02,-1.780086619690714189e-01,1.540081387039317698e-02,6.239239576936569942e-02,-5.988086292024244472e-02,-2.672051837371313548e-02,9.177075270678747287e-02
-2.597664487620171894e-02,-1.090631443222104952e-01,-1.685013110696190544e-02,-1.118653635020403908e-01,5.863400316603141482e-02,8.464018261955254252e-02,4.288548231390848509e-01,1.000000000000000000e+00,2.185631913476826782e-01,-7.502030453707664304e-02,-1.217496332114255120e-01,-1.102794036590227789e-01,-2.607171740610664812e-01,-1.955886934561978097e-01,-9.184277472827009556e-03,2.161003685829016030e-02,-2.033662615487440845e-02,-1.482938493103890497e-02,9.962116991973359037e-02,1.191931982531456574e-01,6.706382778130597078e-02,-5.382310907748116130e-02,-2.132590262632493364e-02,4.142618900782576996e-02,4.549157058960393019e-02,-1.010077536045065200e-01,-1.028179173132520441e-01,6.884845502945446949e-02,-6.977237406304101497e-02,-5.146333560211890229e-02,4.283472964943953187e-02,-8.789985734739544365e-02,3.916313980410954937e-02,-2.984285174434316359e-02,1.539895214673758610e-02,5.102159798416087966e-02,-1.215540285265159365e-01,1.789127853614802185e-02,-1.065700069024059921e-01,-1.554483646386457529e-01,-9.055764060512695723e-02,-1.922090099025685617e-01,1.457216611865732626e-02,3.212092935193831128e-02,-4.489373841518209257e-02,1.149146573330343639e-02,9.363455455401313576e-02
-6.353092787589809110e-02,-9.353489619359753315e-02,-8.972552139147049743e-02,-1.648559522601356075e-01,2.365692023639282549e-01,3.783536683662207523e-01,2.221225016857236167e-01,2.185631913476826782e-01,1.000000000000000000e+00,9.847130228548425790e-02,-1.180970404462642342e-01,-4.931614489722892930e-02,-1.402050392844993720e-01,-2.275290783116159232e-01,-1.518139919949820782e-01,-2.150506175583333582e-02,-1.517349469671045170e-01,-1.196983200198229041e-01,1.300937319352309385e-01,2.440099535984619761e-01,-9.559313967186414129e-02,-9.014645913292719526e-02,-4.738610706170169606e-02,2.926150802386100203e-02,-7.989846683207982303e-02,-1.834609957021210158e-01,-1.138335357388974844e-01,-3.545364018206807050e-02,-2.223305928410001242e-01,-2.063785844617873066e-01,8.252577077535080963e-02,-1.950895994616853313e-01,3.158759066873327859e-01,1.628557263749244866e-01,2.941890926327335176e-01,4.499432085230516409e-01,6.616673985694125626e-02,1.062369491419277584e-01,-1.884667820692893236e-01,-2.472411208192037135e-01,-1.463536937317055364e-01,-2.646286064830508100e-01,-1.729213774121231562e-01,-1.628945004560284626e-01,-1.038727328092424601e-01,-1.306194327261947508e-01,2.349962580352508157e-01
-2.550652347796603103e-01,-2.531000704967806825e-01,-2.499644974552255039e-01,-2.325504896492392726e-01,4.313176686650913028e-02,2.829929162532596187e-01,-8.731019032802543600e-02,-7.502030453707664304e-02,9.847130228548425790e-02,1.000000000000000000e+00,-1.904560705383549213e-01,-2.751243808786667591e-02,-3.724587874946598820e-01,4.617831711211329293e-01,-4.222474681407087926e-01,-1.303778298645067724e-01,-3.313551404971873948e-01,-2.331285736415405485e-01,5.864199998668593455e-02,8.174087446090272380e-02,-2.744234390992731365e-01,-2.236318594867204301e-01,-2.220198481000107138e-01,-1.614726504929542839e-01,-2.595140803295122311e-01,-1.722820295776314459e-01,5.911258224642975678e-01,-1.387999214761615197e-01,-2.979424043827744728e-01,-2.743848137010617139e-01,2.616386855551636539e-02,-1.216232644940981322e-01,1.920777786391285324e-01,1.889410873833660964e-01,1.200075283959476380e-01,3.226453185918304323e-01,7.238683251907632732e-01,-5.220290030747821303e-02,-2.021168967748289136e-01,3.576313636992410894e-01,-1.933440326308386026e-01,3.117666001987708380e-01,-3.142004496350664922e-01,-3.094746806564948605e-01,-3.551985218333371108e-01,-2.703741485881570039e-01,4.245462522724666871e-02
