benchmark,model_a,model_b,common_tasks,pass_a,pass_b,only_a,only_b,both,neither,oracle_gain_over_better,b_rescues_a_failure,a_rescues_b_failure
swebench,anthropic/claude-fruitcake-eap,anthropic/claude-queso-eap-max-effort,500,0.95,0.886,0.082,0.018,0.868,0.032,0.018000000000000016,0.36,0.7192982456140351
swebench,anthropic/claude-fruitcake-eap,grok/v9-carrot,499,0.9498997995991983,0.8677354709418837,0.10020040080160321,0.018036072144288578,0.8496993987975952,0.03206412825651302,0.018036072144288595,0.36,0.7575757575757576
swebench,anthropic/claude-fruitcake-eap,openai/gpt-5.6-luna,500,0.95,0.93,0.048,0.028,0.902,0.022,0.028000000000000025,0.56,0.6857142857142857
swebench,anthropic/claude-fruitcake-eap,openai/iris-alpha,500,0.95,0.87,0.096,0.016,0.854,0.034,0.016000000000000014,0.32,0.7384615384615385
swebench,anthropic/claude-fruitcake-eap,openai/kindle-alpha,500,0.95,0.962,0.018,0.03,0.932,0.02,0.018000000000000016,0.6,0.47368421052631576
swebench,anthropic/claude-queso-eap-max-effort,grok/v9-carrot,499,0.8877755511022044,0.8677354709418837,0.06813627254509018,0.04809619238476954,0.8196392785571143,0.06412825651302605,0.04809619238476959,0.42857142857142855,0.5151515151515151
swebench,anthropic/claude-queso-eap-max-effort,openai/gpt-5.6-luna,500,0.886,0.93,0.028,0.072,0.858,0.042,0.027999999999999914,0.631578947368421,0.4
swebench,anthropic/claude-queso-eap-max-effort,openai/iris-alpha,500,0.886,0.87,0.068,0.052,0.818,0.062,0.051999999999999935,0.45614035087719296,0.5230769230769231
swebench,anthropic/claude-queso-eap-max-effort,openai/kindle-alpha,500,0.886,0.962,0.006,0.082,0.88,0.032,0.006000000000000005,0.7192982456140351,0.15789473684210525
swebench,grok/v9-carrot,openai/gpt-5.6-luna,499,0.8677354709418837,0.9298597194388778,0.02404809619238477,0.08617234468937876,0.843687374749499,0.04609218436873747,0.024048096192384683,0.6515151515151515,0.34285714285714286
swebench,grok/v9-carrot,openai/iris-alpha,499,0.8677354709418837,0.8717434869739479,0.052104208416833664,0.056112224448897796,0.8156312625250501,0.07615230460921844,0.05210420841683372,0.42424242424242425,0.40625
swebench,grok/v9-carrot,openai/kindle-alpha,499,0.8677354709418837,0.9619238476953907,0.014028056112224449,0.10821643286573146,0.8537074148296593,0.02404809619238477,0.014028056112224463,0.8181818181818182,0.3684210526315789
swebench,openai/gpt-5.6-luna,openai/iris-alpha,500,0.93,0.87,0.078,0.018,0.852,0.052,0.017999999999999905,0.2571428571428571,0.6
swebench,openai/gpt-5.6-luna,openai/kindle-alpha,500,0.93,0.962,0.008,0.04,0.922,0.03,0.008000000000000007,0.5714285714285714,0.21052631578947367
swebench,openai/iris-alpha,openai/kindle-alpha,500,0.87,0.962,0.008,0.1,0.862,0.03,0.008000000000000007,0.7692307692307693,0.21052631578947367
