alibaba/qwen3.6-plus,alibaba/qwen3.7-max,alibaba/qwen3.7-plus,anthropic/claude-fruitcake-eap-high,anthropic/claude-haiku-4-5-20251001-thinking,anthropic/claude-opus-4-7,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-5-high,cohere/command-a-plus-05-2026,deepseek/deepseek-v4-pro,google/gemini-3-flash-preview,google/gemini-3.1-flash-lite,google/gemini-3.1-pro-preview,google/gemini-3.5-flash,grok/grok-4.20-0309-reasoning,grok/grok-4.3,grok/v9-carrot,grok/v9-potato,grok/v9-stickynote,grok/v9m-exp-0805-row17-47p8-api-medium,kimi/kimi-k2.6,kimi/kimi-k2.6-thinking,kimi/kimi-k2.7-code,meta/blue_tower,meta/emerald_lagoon,meta/glassy_lagoon,meta/super_nova,meta/super_nova_dist,meta/super_nova_max,meta/super_nova_vals,meta/super_nova_xhigh,minimax/MiniMax-M2.7,minimax/MiniMax-M3,mistralai/mistral-medium-3.5,nvidia/nemotron-3-ultra-550b-a55b,openai/firefly-alpha-high,openai/gpt-5.4-mini-2026-03-17,openai/gpt-5.4-nano-2026-03-17,openai/gpt-5.5-high,openai/gpt-5.6-luna,openai/iris-alpha,openai/iris-alpha-code-mode,openai/joule-alpha-high,openai/kindle-alpha,openai/nova-alpha,poolside/laguna-m.1,poolside/laguna-m.1:fast,poolside/laguna-xs.2,poolside/laguna-xs.2:fast,xiaomi/mimo-v2.5,xiaomi/mimo-v2.5-pro,zai/glm-5.1-thinking,zai/glm-5.2-high,zai/glm-5.2-max-tokens-48k-top-p-1
1.000000000000000000e+00,5.419726190235244490e-01,6.164533136276396652e-01,3.231409740723278912e-01,6.714951704609829486e-01,6.313794805003203336e-01,6.643240642996119938e-01,4.416238037766944680e-01,2.094116892342675895e-01,6.623483149806279613e-01,5.654700440235599368e-01,5.932586610952258477e-01,4.880732924952129181e-01,3.940516187113167756e-01,5.799105039652088234e-01,4.911704139792531509e-01,4.807272013603010596e-01,4.377857721936018742e-01,5.191098350884398860e-01,5.523246284635721093e-01,6.538993389498739539e-01,6.077170421380049259e-01,4.861841992702814474e-01,6.322289655119969209e-01,5.809636795811602417e-01,6.186528651751971308e-01,5.654700440235600478e-01,4.416238037766944680e-01,5.647381826379502812e-01,4.611956161413646171e-01,4.292108434084759283e-01,6.164533136276394432e-01,6.703550344195385868e-01,5.334404634636737974e-01,5.603398397893943894e-01,3.869726000512389574e-01,6.114602139626295063e-01,3.833657393513247302e-01,3.197868354537006241e-01,2.636951929446846310e-01,2.480404815175314970e-01,3.369398740592662866e-01,3.342540095926306853e-01,1.225947207500443087e-01,3.156280289067796008e-01,4.230512484770687087e-01,3.849874881099513146e-01,4.308294733275793154e-01,3.523789747418462071e-01,5.498832049905649777e-01,5.767567567567568609e-01,6.077170421380049259e-01,5.577708589549972285e-01,4.646738336104371814e-01
5.419726190235244490e-01,1.000000000000000000e+00,5.434114693063090140e-01,4.365287129620499251e-01,5.124969361264996026e-01,6.560932897067124348e-01,5.990019133964203935e-01,5.644156027863892477e-01,2.595695047952626400e-01,3.929022760440843975e-01,5.334876343659911146e-01,4.674324065931558247e-01,5.477832234584456561e-01,3.987338160899587258e-01,5.113407280515339659e-01,2.853603674690836645e-01,4.935983985694197274e-01,4.990137507042649578e-01,4.913839663526222146e-01,6.117304941180796707e-01,4.235321978732391468e-01,5.245894783309290599e-01,4.969861976524961311e-01,6.163383832570084042e-01,5.557850075295743819e-01,5.641263429286229591e-01,4.277034967289480294e-01,4.499718860923749841e-01,5.107957098548516761e-01,6.455535256342405104e-01,4.632665836190039133e-01,4.630821773376584405e-01,6.427414147078972517e-01,4.435971898623788934e-01,4.653048324868290231e-01,4.332581302638349730e-01,6.340817010155106459e-01,2.918927594263315273e-01,3.419262091784177615e-01,4.031535316832140503e-01,3.472762843362818819e-01,4.438118188405090203e-01,3.759904375167314461e-01,2.468182475889501015e-01,4.913839663526222146e-01,3.890112500035846632e-01,4.046206573213967927e-01,3.075274221100975924e-01,3.873983346375795556e-01,5.368243773469635327e-01,5.118637560128799224e-01,5.245894783309290599e-01,6.042559872272024180e-01,5.471906177108168956e-01
6.164533136276396652e-01,5.434114693063090140e-01,1.000000000000000000e+00,4.291116204513211185e-01,6.808158310539758062e-01,4.521375599541396784e-01,6.633930178904107189e-01,4.733191394312488698e-01,3.877690229421988377e-01,5.950455005055611535e-01,5.499257395217547195e-01,5.582977106463327122e-01,4.586384888379369529e-01,3.240400005679782147e-01,5.275982661277708319e-01,5.595992805731806463e-01,4.688662475437123667e-01,2.842214183415208706e-01,4.463210472851882882e-01,4.261216495279404048e-01,5.056136606493785157e-01,6.868809951822875126e-01,3.570069622332923132e-01,6.936101678140393911e-01,6.543245009716480709e-01,6.592558621363551197e-01,5.908868192677473319e-01,4.733191394312488143e-01,5.445134575569356983e-01,5.791884353116681927e-01,4.773306855840496743e-01,5.452196382428942112e-01,5.943618893942408388e-01,4.434544728831659732e-01,5.732059747910750458e-01,3.136799509028468935e-01,5.950348554825254377e-01,4.858429070961399754e-01,1.750686574110898175e-01,4.385817092230693270e-01,2.254093017982159441e-01,2.500051940676826789e-01,3.054204540412610580e-01,1.653451465286314426e-01,3.462641878182316502e-01,4.531700893637944927e-01,4.516031183939102078e-01,4.454768371117636683e-01,3.940552031195502791e-01,5.782953162047623774e-01,5.687747577374121510e-01,4.149799933829239618e-01,4.729953454489488895e-01,3.890831177333229363e-01
3.231409740723278912e-01,4.365287129620499251e-01,4.291116204513211185e-01,1.000000000000000000e+00,2.657074158688168541e-01,3.825829817230273489e-01,3.257557607164855984e-01,4.485426135725301688e-01,1.709086606170338030e-01,2.096234927492085787e-01,2.886546200909651527e-01,2.799956409071382435e-01,4.146773014709962402e-01,3.325363758005972503e-01,2.686492743630641278e-01,2.186575824073489493e-01,4.854407091761895332e-01,1.946461560023325654e-01,2.234764625711357922e-01,4.015920683367347754e-01,2.030507633395412237e-01,4.241090867306013812e-01,2.085631246190267629e-01,3.379494462750854411e-01,3.380641089068029403e-01,4.655694693655008654e-01,6.354467613739926690e-02,2.587745847533828303e-01,1.621118638675528301e-01,4.547172287216094122e-01,2.719367202713395271e-01,2.605591124380223778e-01,3.066109210774441984e-01,2.119257923898060780e-01,2.477200590062081653e-01,2.273407136236200721e-01,3.986771519457655288e-01,2.244337128107235235e-01,3.085506147302352065e-01,3.958810068649885050e-01,4.246805701575905312e-01,3.273504341309453336e-01,3.254860695268779192e-01,2.781822339404372291e-01,4.065077984806242939e-01,2.293410283063720689e-01,1.974832086236409934e-01,1.973154433517570749e-01,1.754004535194779724e-01,3.777112599217828937e-01,3.099964168352911109e-01,3.135799250350712608e-01,4.248588853605731464e-01,3.719541732870174644e-01
6.714951704609829486e-01,5.124969361264996026e-01,6.808158310539758062e-01,2.657074158688168541e-01,1.000000000000000000e+00,4.708777790341367453e-01,6.553891126561601777e-01,5.034131165176919387e-01,4.391229346462927063e-01,6.398194785750829228e-01,6.746927203553587660e-01,7.305171528035090400e-01,5.297447795276692961e-01,4.412382545795838218e-01,6.087488880918174861e-01,6.811665380610868459e-01,4.586428365746522684e-01,4.068043640634317892e-01,5.266744831853682474e-01,4.610289884943122862e-01,6.561495371451000480e-01,6.010966888717899081e-01,4.419855885246309901e-01,7.206796905485657323e-01,5.648821735682629797e-01,5.776844341976633546e-01,6.707262337363448790e-01,5.034131165176919387e-01,6.074887622196909476e-01,5.020723652139494897e-01,4.875277995069112191e-01,6.904769424634193964e-01,6.437526210259755244e-01,4.740941823317896264e-01,6.503296659588913009e-01,4.090447787893933262e-01,5.650917126225238896e-01,5.081162577338473874e-01,2.687026018948009409e-01,3.194405130851138419e-01,1.604897769211368064e-01,2.237915591450827801e-01,3.451114125541400179e-01,1.057633778943889991e-01,4.051210854453416443e-01,6.489590952644873623e-01,6.559176508365895941e-01,5.410916855724461350e-01,5.796389720099655030e-01,5.796645645469618024e-01,4.657169745123614923e-01,5.598070526668073033e-01,4.498038752292813913e-01,4.194322908739702704e-01
6.313794805003203336e-01,6.560932897067124348e-01,4.521375599541396784e-01,3.825829817230273489e-01,4.708777790341367453e-01,1.000000000000000000e+00,6.485662193642963702e-01,4.934797935511528455e-01,2.539677962406353684e-01,4.997028588145633887e-01,3.900607029450601226e-01,3.954976101066842165e-01,4.382525028131230016e-01,3.568355584196569730e-01,4.314312604527739681e-01,3.110637187542456550e-01,4.994244103446204286e-01,4.764720708055985576e-01,5.062825632967276057e-01,4.796701260603159489e-01,5.199638940428592537e-01,5.199638940428592537e-01,3.966101694915253884e-01,4.650865043771163498e-01,5.352266635574460807e-01,4.506339672619927295e-01,4.336157225310158791e-01,4.391970162605261518e-01,4.433089261150919280e-01,4.743416490252568840e-01,3.741761970629670642e-01,5.438954584694387639e-01,7.531215679930393092e-01,4.521292586084558196e-01,4.609561311707108255e-01,5.326080319586917744e-01,4.377466954754314354e-01,1.948116011286765148e-01,3.536346578947937025e-01,3.800457869044041592e-01,2.504142239465265707e-01,2.851515930234166940e-01,4.068381021724862268e-01,1.869188794130768605e-01,2.947372668957474739e-01,3.745138077957736455e-01,3.576271186440677097e-01,2.251010841473029822e-01,3.045000927970465399e-01,4.863466431237288279e-01,4.313112118113571203e-01,5.199638940428592537e-01,5.762509279860651423e-01,5.635174567628198350e-01
6.643240642996119938e-01,5.990019133964203935e-01,6.633930178904107189e-01,3.257557607164855984e-01,6.553891126561601777e-01,6.485662193642963702e-01,1.000000000000000000e+00,4.424801330266303623e-01,3.842340244806589089e-01,5.826873256143462187e-01,5.000085682755622818e-01,4.450418287090836533e-01,4.086026222004952024e-01,4.630349795491421339e-01,5.720724601192622716e-01,5.618758671245415171e-01,4.131753953044814409e-01,4.577574607847318955e-01,4.872717915886835005e-01,4.607550937266353119e-01,5.919441565223054758e-01,5.338848332574992472e-01,4.657461385257541386e-01,6.599054081799538007e-01,6.218652102455567432e-01,5.552733196792172254e-01,5.992252711626147033e-01,4.293607759827141046e-01,6.114532302519586349e-01,5.359476374254519282e-01,4.979083177445243202e-01,6.123305506541342202e-01,6.785878036091917975e-01,4.195112229122592851e-01,5.828413058076761244e-01,4.988658575544244744e-01,4.768912890150298067e-01,3.375167376626537208e-01,2.426256698231873954e-01,3.750036205120012567e-01,1.478542761552658902e-01,2.287640045805174049e-01,2.560889471874176482e-01,1.478542761552658902e-01,3.718994282831750153e-01,4.464290406348505602e-01,4.971062872239010999e-01,4.102780748279269418e-01,5.306796260310071567e-01,5.669591356416665562e-01,6.145224612539990083e-01,4.990492392986154435e-01,4.940356566973241326e-01,5.174982442980434749e-01
4.416238037766944680e-01,5.644156027863892477e-01,4.733191394312488698e-01,4.485426135725301688e-01,5.034131165176919387e-01,4.934797935511528455e-01,4.424801330266303623e-01,1.000000000000000000e+00,2.124804295599230508e-01,3.712306975931363162e-01,4.510505908766611061e-01,4.453318813890353445e-01,5.884823492763704422e-01,3.481991795247382782e-01,5.693986233737299285e-01,3.666600786051238403e-01,6.149301314555193354e-01,5.632926618564627619e-01,4.063321549001753241e-01,6.090931740183919141e-01,3.268602252303067224e-01,5.836789736255476591e-01,4.746696774410520958e-01,5.030400274791607673e-01,4.918419280041679276e-01,5.173487891019494800e-01,3.446483827045375703e-01,7.135416666666666297e-01,3.597215394180963144e-01,6.421443399435795563e-01,4.982711932650419895e-01,4.700355078468721470e-01,4.939849187727318180e-01,4.014788205224535389e-01,5.530380310880864680e-01,4.397639499913604810e-01,4.146042708280860412e-01,3.518228964263941938e-01,1.717133611629772516e-01,4.206977348492943469e-01,5.010044608139430089e-01,4.009596555237029403e-01,3.991006202884661014e-01,2.917241164233086437e-01,4.270833333333334259e-01,4.140393356054126173e-01,4.293274203895030561e-01,3.116902033550217332e-01,3.481553119113956485e-01,5.070749646938295108e-01,5.094221623672643418e-01,4.448782605013046343e-01,4.746696774410520403e-01,4.423144351627583126e-01
2.094116892342675895e-01,2.595695047952626400e-01,3.877690229421988377e-01,1.709086606170338030e-01,4.391229346462927063e-01,2.539677962406353684e-01,3.842340244806589089e-01,2.124804295599230508e-01,1.000000000000000000e+00,2.546802262333314193e-01,2.855589991834631136e-01,4.206872154214599813e-01,3.025711416752230321e-01,1.974066974213273262e-01,3.673334485639204727e-01,5.285964128026555686e-01,1.899303430957381689e-01,3.278521426309796705e-01,2.176578291426864986e-01,1.468839205413836058e-01,3.994103155558996754e-01,3.279025517798626610e-01,1.885748906217891430e-01,4.394233637294684414e-01,2.904353994709784614e-01,2.310775311379827390e-01,3.023724562500154089e-01,2.124804295599230231e-01,3.850906317170778026e-01,2.543405157385539295e-01,2.377430106868228810e-01,2.509505737713911833e-01,4.230927293660148858e-01,3.526933713419243555e-01,4.709893692170695201e-01,2.988071523335983914e-01,4.186969812664837476e-01,2.772644253152085070e-01,2.567762955065477359e-01,1.742956618720006845e-01,2.112676056338028130e-01,2.197492626394534632e-01,2.229112850301410986e-01,2.112676056338028685e-01,2.942534354534347973e-01,4.133189726245622975e-01,4.993982518047657138e-01,3.952127001049255961e-01,3.605894301939455149e-01,1.636463418339015596e-01,2.519763153394848354e-01,2.657888525440296745e-01,1.982186517516038304e-01,2.267713142561137429e-01
6.623483149806279613e-01,3.929022760440843975e-01,5.950455005055611535e-01,2.096234927492085787e-01,6.398194785750829228e-01,4.997028588145633887e-01,5.826873256143462187e-01,3.712306975931363162e-01,2.546802262333314193e-01,1.000000000000000000e+00,4.597075076002133942e-01,4.700932794377108981e-01,3.617966726894757956e-01,3.240400005679781592e-01,4.117046637316908453e-01,4.811252243246882387e-01,3.099991306729366625e-01,2.842214183415208706e-01,2.962357580847533867e-01,4.261216495279403493e-01,5.509304942826057649e-01,5.509304942826057649e-01,3.094416633728686583e-01,5.021267595198749545e-01,4.681218452195244351e-01,4.574662417259229841e-01,5.453144791314091799e-01,3.201864766740800672e-01,5.900621118012421285e-01,4.301073883527476993e-01,3.825184261187246637e-01,5.906976744186047679e-01,6.452908446151207622e-01,3.509805543672450678e-01,5.484216841407051346e-01,3.635063690968008965e-01,5.499257395217547195e-01,4.081352492626197925e-01,1.750686574110898175e-01,3.710612902430631133e-01,2.254093017982159441e-01,2.500051940676826234e-01,3.054204540412610580e-01,1.653451465286314148e-01,1.961788986177968319e-01,5.370505286904807551e-01,4.040378195334864975e-01,5.475652789498761663e-01,4.593745513922587453e-01,3.631752149521932371e-01,3.383319461310940746e-01,3.696631597496967125e-01,3.786083818952349356e-01,2.912627858738151554e-01
