alibaba/qwen3.6-plus,alibaba/qwen3.7-max,alibaba/qwen3.7-plus,anthropic/claude-fruitcake-eap-high,anthropic/claude-haiku-4-5-20251001-thinking,anthropic/claude-opus-4-7,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-5-high,cohere/command-a-plus-05-2026,deepseek/deepseek-v4-pro,google/gemini-3-flash-preview,google/gemini-3.1-flash-lite,google/gemini-3.1-pro-preview,google/gemini-3.5-flash,grok/grok-4.20-0309-reasoning,grok/grok-4.3,grok/v9-carrot,grok/v9-potato,grok/v9-stickynote,grok/v9m-exp-0805-row17-47p8-api-medium,kimi/kimi-k2.6,kimi/kimi-k2.6-thinking,kimi/kimi-k2.7-code,meta/blue_tower,meta/emerald_lagoon,meta/glassy_lagoon,meta/super_nova,meta/super_nova_dist,meta/super_nova_max,meta/super_nova_vals,meta/super_nova_xhigh,minimax/MiniMax-M2.7,minimax/MiniMax-M3,mistralai/mistral-medium-3.5,nvidia/nemotron-3-ultra-550b-a55b,openai/firefly-alpha-high,openai/gpt-5.4-mini-2026-03-17,openai/gpt-5.4-nano-2026-03-17,openai/gpt-5.5-high,openai/gpt-5.6-luna,openai/iris-alpha,openai/iris-alpha-code-mode,openai/joule-alpha-high,openai/kindle-alpha,openai/nova-alpha,poolside/laguna-m.1,poolside/laguna-m.1:fast,poolside/laguna-xs.2,poolside/laguna-xs.2:fast,xiaomi/mimo-v2.5,xiaomi/mimo-v2.5-pro,zai/glm-5.1-thinking,zai/glm-5.2-high,zai/glm-5.2-max-tokens-48k-top-p-1
1.000000000000000000e+00,-3.402798641291407411e-02,1.508552417855018035e-01,-1.408721478480749190e-01,1.657541748553697514e-01,2.372353848916873842e-01,1.847299774928672922e-01,-1.969175821822146677e-01,-3.338126431322545051e-01,3.385988316401246645e-01,1.150374895865925590e-01,7.623412380143414213e-02,-9.550239614937412747e-02,-1.258482689719667702e-01,1.057005628081307685e-01,-1.961596464949688645e-02,-9.942866381355945637e-02,-1.381670018432619995e-01,4.634215683874576969e-02,4.836043679582201216e-02,2.810599178391081088e-01,1.192613873808724967e-01,5.060054016047534423e-03,-3.354913428072170412e-02,4.846817778158097473e-02,1.253655426581891663e-01,1.273892635311043853e-01,-1.699585385419519756e-01,9.521896894194400995e-02,-2.016269052146718865e-01,-1.911898577747176420e-01,1.932709201358764062e-01,1.323508526296625909e-01,1.332455126665241518e-01,1.401649358067741553e-02,-1.384050598185881664e-01,1.793570773811537789e-01,-1.078589824100039396e-01,-1.182185021321338070e-01,-3.196750961668767821e-01,-2.516390262101663167e-01,-2.008771132964657091e-01,-2.008477372424367635e-01,-2.796317531219253416e-01,-2.168695729355113455e-01,-1.183287060312730038e-01,-1.937302855926682221e-01,-3.203748494568933042e-02,-1.939326124241563254e-01,7.705279883403952368e-02,1.613870178317182991e-01,1.932021301797942348e-01,6.688900038731349085e-02,-7.927106398406109922e-02
-3.402798641291407411e-02,1.000000000000000000e+00,-2.539183716998527802e-03,9.480799136912289315e-02,-2.008523091305199626e-01,3.042765120488139519e-01,7.294167112220810434e-02,8.075792483500540686e-02,-1.856579413607378215e-01,-1.770271760865340660e-01,6.389042147811653527e-02,-1.354740861908484695e-01,5.070447508994285063e-02,-7.561595756207112329e-02,-2.665212280800212039e-02,-4.034932450812576676e-01,-4.014386599334830719e-02,3.013781071395034081e-02,2.071620944484731108e-02,1.989487396849003442e-01,-1.835372612348891708e-01,-5.893251754027719475e-02,5.035348014904451885e-02,-2.758459435072432159e-02,2.657190964844626663e-02,1.179921948824576815e-02,-1.316766299845497090e-01,-1.330447101437428337e-01,-2.964844475619812965e-03,2.174970661711456144e-01,-7.415868780104638291e-02,-1.153330994490797123e-01,9.857753217705753079e-02,-1.132747966197139057e-02,-1.886634397143182318e-01,-1.968607516920307249e-02,2.363721846064769372e-01,-2.301131649709308447e-01,-6.779720854872761486e-03,-2.696892362174593827e-02,-3.342226461660656109e-03,6.926912160630178950e-02,-3.888797427038128557e-02,-1.439948366244479284e-02,1.313272943167310414e-01,-1.490232500262781701e-01,-1.176861150339396922e-01,-2.123827255075785847e-01,-8.146550174525014898e-02,7.366488980998758818e-02,4.996230451559893759e-02,3.560461874237322993e-02,1.799896681495815332e-01,1.103304974007180694e-01
1.508552417855018035e-01,-2.539183716998527802e-03,1.000000000000000000e+00,5.050086902961772872e-02,2.226121672598340984e-01,-1.070374396310101034e-01,2.116906172106758632e-01,-1.026696475972126849e-01,-2.289693349960861962e-02,2.208275534616166713e-01,1.035483628927477556e-01,3.822585531886085741e-02,-1.299019098875099087e-01,-2.249728961977788821e-01,1.437304429328252996e-02,1.340518621908169672e-01,-9.648834270462497420e-02,-3.868303470134139554e-01,-7.290408538343437495e-02,-1.893700140530033271e-01,-4.685754470199061418e-03,3.155891565423806777e-01,-2.195225286667415732e-01,1.762838326706871739e-01,2.531648448562894838e-01,2.373487192604263329e-01,1.969269557329931530e-01,-7.875464234609073910e-02,7.468242927137606901e-02,8.500234972152653778e-02,-3.283867754741975897e-02,6.580446150304045116e-02,-2.425268380958373049e-02,-1.490062329115148659e-02,6.989779154813204054e-02,-2.487274120217399520e-01,1.647487342284856549e-01,9.427408233046735697e-02,-2.988212436788448279e-01,1.609001608783971332e-02,-2.290048115430288744e-01,-2.821948212275231516e-01,-1.861284748818303192e-01,-1.755565223793681962e-01,-1.403337459999523251e-01,-3.415005185319660436e-02,-3.239566060393656022e-02,1.552822701796396920e-02,-1.008459304979608118e-01,1.545336197436503745e-01,1.628307326362254115e-01,-1.774516995259582119e-01,-8.536271765217379182e-02,-2.032455852535125784e-01
-1.408721478480749190e-01,9.480799136912289315e-02,5.050086902961772872e-02,1.000000000000000000e+00,-2.627542507919332082e-01,5.608130374501835852e-02,-6.999255889109104456e-02,1.467727127667523279e-01,2.325521336825104105e-02,-1.755622951069749083e-01,-9.276025131257986667e-02,-6.742979773325082082e-02,8.518641181131844653e-02,1.057901741021760739e-01,-1.606798153569839183e-01,-1.810540518676003463e-01,2.377013801525724168e-01,-1.840225467353687194e-01,-1.183489770460263713e-01,7.711165324763549767e-02,-2.413380399380853081e-01,3.345225791038992230e-02,-1.380666550842076234e-01,-1.419065776217786901e-01,-8.388346526549363136e-02,1.338834054609671642e-01,-4.081902049839438162e-01,-1.241675864452030514e-01,-3.361603120205710615e-01,1.146441126930333176e-01,-1.038242445859845070e-01,-1.649793016880263252e-01,-1.872754724189655828e-01,-1.091285678266223080e-01,-2.517959640293994661e-01,-7.651484511712688952e-02,4.190622244774263455e-02,-3.769005812112049408e-02,1.928459576688690558e-01,2.322635178023261804e-01,3.460441277536345783e-01,1.775228763555400380e-01,1.760102533144838333e-01,2.652149585828252887e-01,2.220331175074814201e-01,-9.251673262699380840e-02,-1.459093067173974634e-01,-6.087018460515582902e-02,-9.009975333513170481e-02,5.048658414078969342e-02,-2.561821337047101924e-02,-6.324167706349137497e-02,1.015778503213030787e-01,7.231904884503041753e-02
1.657541748553697514e-01,-2.008523091305199626e-01,2.226121672598340984e-01,-2.627542507919332082e-01,1.000000000000000000e+00,-1.793910751258034342e-01,1.069437293116046322e-01,-1.442838777613660584e-01,7.150426211905726304e-02,2.574472500786900153e-01,2.981245335411343844e-01,3.644024519335574697e-01,-8.860762137119615467e-02,-7.397623991014040667e-02,9.108553745674509428e-02,3.329787927911598833e-01,-2.230250756231954290e-01,-2.577669092950014007e-01,1.403118553162133360e-02,-2.401386591172899321e-01,2.336562212823785067e-01,9.245793323950450213e-03,-1.459873619859131111e-01,1.323423974967420647e-01,-5.939698938155556912e-02,-5.511081345278748267e-02,3.028456274554923722e-01,-1.112306732050575425e-01,1.167256628861108037e-01,-2.164244338177336302e-01,-1.188531180041964147e-01,2.982226268561020688e-01,-3.080136247039448605e-02,-2.675346387058488359e-02,1.334771586223545969e-01,-1.474105684077073319e-01,1.376318438581722228e-03,1.026040936994297714e-01,-1.838438361788243547e-01,-2.448271173586284433e-01,-3.710824428879294645e-01,-3.908395769403431030e-01,-1.578822561603342722e-01,-2.635206737968578405e-01,-9.004740817538356423e-02,3.034422521277655993e-01,3.242253422461307544e-01,1.581603682134238853e-01,2.203888607822127310e-01,8.505073355497143328e-02,-1.482427690447289670e-01,2.394907273110520596e-02,-2.598454078694400482e-01,-2.514360988763017501e-01
2.372353848916873842e-01,3.042765120488139519e-01,-1.070374396310101034e-01,5.608130374501835852e-02,-1.793910751258034342e-01,1.000000000000000000e+00,2.646789861754582640e-01,1.328402252411641296e-02,-1.245117395388543047e-01,9.550642947752012446e-02,-1.394908823248567908e-01,-1.827061004899590835e-01,-9.002678988109025227e-02,-8.020550026739248217e-02,-1.038819163417429720e-01,-2.547367042804932757e-01,4.891882370898948534e-02,5.343463303524492725e-02,1.125919923787494226e-01,1.199182532496206183e-02,8.574138894167013247e-02,1.736263775327785697e-02,-6.739839899690859559e-02,-2.880898534689158574e-01,6.304144554597476691e-02,-1.290731710811079958e-01,-4.234518878247387624e-02,-6.871286899642470303e-02,-5.721925323711402750e-02,-6.532990112338837863e-02,-1.642324868552258454e-01,1.223674221374239229e-01,4.610210505670860326e-01,6.359293482897813987e-02,-1.011569601807571078e-01,2.099184712351190585e-01,-8.710938876949506082e-02,-3.167062052017239338e-01,5.570905157088306553e-02,-3.954012014635678758e-03,-9.323153882844822937e-02,-1.245003915063464806e-01,6.400047736292097111e-02,-5.364128809609967213e-02,-1.431788771078033595e-01,-9.858535955100583559e-02,-1.281511426076339666e-01,-2.741696602281318840e-01,-1.531776928266486704e-01,3.574072010260406773e-02,-3.215883727202351744e-02,9.470032332841883671e-02,1.862005831582707605e-01,2.003929517897058143e-01
1.847299774928672922e-01,7.294167112220810434e-02,2.116906172106758632e-01,-6.999255889109104456e-02,1.069437293116046322e-01,2.646789861754582640e-01,1.000000000000000000e+00,-2.108253307961836520e-01,4.767572866271103937e-02,1.697558031330195505e-01,-4.374588822022987961e-02,-2.033631691247539397e-01,-2.908947333908624144e-01,3.675081614415011411e-02,5.329315764542923162e-02,1.133324196342297835e-01,-2.358838982802859141e-01,-8.046853753143606847e-02,-6.309789967762833955e-03,-1.531843592751903071e-01,1.263370049067555068e-01,-9.962493780623782325e-02,-3.242114769705425892e-02,5.265420599019864090e-02,1.245225344795646560e-01,-4.208217762273984419e-02,1.804794700401265162e-01,-2.047873245376040097e-01,1.645681597778645699e-01,-6.914520535745696805e-02,-3.191661262648350789e-02,1.543388950937352178e-01,1.499886966363921659e-01,-8.004354628518259296e-02,1.565095893460424423e-02,9.413560175019182463e-02,-1.430477800595922611e-01,-1.734709447505506930e-01,-1.474877401850526182e-01,-5.643490166870365060e-02,-2.842278237608611979e-01,-2.757536732638203314e-01,-2.264789010220708554e-01,-1.047753516489457054e-01,-8.231386930868607454e-02,-6.327107295802808506e-02,3.994997352161839405e-02,-3.302926380453508753e-02,1.744799190066498584e-01,1.035678165139662793e-01,2.261023022987414532e-01,-5.838228852606867914e-02,-9.169019728967031657e-02,2.729508033514648629e-02
-1.969175821822146677e-01,8.075792483500540686e-02,-1.026696475972126849e-01,1.467727127667523279e-01,-1.442838777613660584e-01,1.328402252411641296e-02,-2.108253307961836520e-01,1.000000000000000000e+00,-2.027091012927947355e-01,-1.655546152718991026e-01,-5.389997584332931191e-02,-1.105627841581908050e-01,1.704372898668458647e-01,-1.085975471814865367e-01,1.355446721004876787e-01,-1.850614370108955020e-01,2.534683164596213678e-01,1.943797502719730452e-01,-8.596512766908449843e-02,2.416323270119173083e-01,-3.177202394494457738e-01,1.147936864780625121e-01,5.376131616762030302e-02,-2.461618336970265442e-01,-6.717080217437357281e-02,-2.078683754972212444e-02,-2.375415827760735121e-01,4.494341438640857000e-01,-2.510353148950018598e-01,2.641304573704260084e-01,5.546279273084794154e-02,-5.107677109970022722e-02,-1.968914892036929543e-01,-4.604534653104885855e-02,4.733059020278064521e-02,4.066016857076969193e-02,-1.702391869767107546e-01,-7.613293364561278531e-02,-2.249641082368008527e-01,5.836375394607001138e-02,2.574701089206135052e-01,3.674920605312644722e-02,3.526493941890364997e-02,8.402940211920637004e-02,5.518837073117174863e-02,-4.775832943110059486e-02,-2.657214858490161008e-02,-1.539687342403824044e-01,-1.028541330341988802e-01,5.659918211295241613e-02,5.958973656890471232e-02,-8.042798756608983413e-02,-4.565767091447339027e-02,-5.409174664885255113e-02
-3.338126431322545051e-01,-1.856579413607378215e-01,-2.289693349960861962e-02,2.325521336825104105e-02,7.150426211905726304e-02,-1.245117395388543047e-01,4.767572866271103937e-02,-2.027091012927947355e-01,1.000000000000000000e+00,-9.964664312690998949e-02,-8.263536701012080821e-02,1.776555215562341805e-01,-7.220512202349099740e-02,-5.726524722541324192e-02,-3.316665997872583500e-03,2.942576997209938039e-01,-2.006874414838456799e-01,7.377234918560930318e-03,-1.005833015390015100e-01,-3.222294855511335099e-01,5.926918780985721003e-02,-1.183046405871307910e-01,-1.388476425243492240e-01,8.831653405422604242e-02,-1.550724278476911522e-01,-2.609838867518489702e-01,-5.321902139955983491e-02,-1.761707656237715691e-01,2.543116608260647879e-02,-2.104361404064336027e-01,-1.410984966643597238e-01,-1.704964066819641133e-01,5.786008859028623358e-02,9.343779780169468585e-02,6.856017226382092600e-02,4.748041394974195084e-02,7.156278241458310929e-02,5.286125347085607329e-02,1.475354354790478217e-01,-2.238462027911269567e-02,1.374694385323973755e-01,7.371481579775146509e-02,6.868506667759555206e-02,2.327637266749631728e-01,8.599543942703456734e-02,1.785945248531239926e-01,2.886602276873733164e-01,2.170350238602678505e-01,1.757303581620545951e-01,-2.405731222794844359e-01,-1.043938932822087856e-01,-1.200978863889209519e-01,-2.262997024404218571e-01,-1.147594718406089037e-01
3.385988316401246645e-01,-1.770271760865340660e-01,2.208275534616166713e-01,-1.755622951069749083e-01,2.574472500786900153e-01,9.550642947752012446e-02,1.697558031330195505e-01,-1.655546152718991026e-01,-9.964664312690998949e-02,1.000000000000000000e+00,3.031971721043469695e-02,4.355580506784165369e-03,-1.868258478847800719e-01,-9.795193467520979524e-02,-9.557326342600379332e-02,8.860753393276378509e-02,-2.576196648240294262e-01,-2.470242076024604383e-01,-2.186230997964001277e-01,-5.211081319184081295e-02,1.802178224096197268e-01,1.256195412176888682e-01,-1.790502199676103912e-01,-1.208228703331358372e-01,-2.306404642181025116e-02,-6.638084731161134067e-02,1.949990388885980697e-01,-2.351074545383797787e-01,2.524184700781777480e-01,-9.487842759588216435e-02,-9.451559671125260575e-02,2.459684674931560400e-01,2.570228528118673750e-01,-7.259546966043828320e-02,1.058947652826867092e-01,-4.280328743315026108e-02,1.669420865141407750e-01,6.139764415476681864e-02,-1.754979330857098230e-01,5.376705429123313125e-03,-1.060872626952293341e-01,-1.482911243685826053e-01,-6.156248514104550179e-02,-6.795453285877763039e-02,-2.648776166740244298e-01,2.043074236541462529e-01,-1.097994858192003972e-02,2.742612117047107390e-01,1.266421699661418321e-01,-1.438819813717110985e-01,-1.582668302591789811e-01,-1.410024413923695041e-01,-1.442611306459626042e-01,-2.493882379898058888e-01
