benchmark,profile_agent,profile_dataset,profile_total_tasks,analysis_runs,all_profile_runs_after_conflict_filter,all_task_error_runs_excluded,system_cells,repeated_system_cells,singleton_system_cells,between_model_system_sd,between_sd_ci_low,between_sd_ci_high,within_run_sd,operational_within_run_sd_including_all_errors,within_sd_ci_low,within_sd_ci_high,icc_one_run,operational_icc_including_all_errors,icc_ci_low,icc_ci_high,simulation_median_between_sd,simulation_median_within_sd,simulation_median_icc,simulation_relative_bias_between_sd,simulation_relative_bias_within_sd,simulation_relative_bias_icc,reliability_2_runs,reliability_3_runs,reliability_5_runs,reliability_10_runs,needed_per_system_5pp,needed_per_system_10pp,median_actual_runs,mean_actual_runs,share_cells_adequate_5pp,share_cells_adequate_10pp,largest_cell_share_of_within_ss,top_five_cells_share_of_within_ss,reverse_2pp_one_run,reverse_5pp_one_run,reverse_10pp_one_run,fit_converged
terminal-bench,terminus2,terminal-bench-2.1,89,225,263,38,66,61,5,0.16486306948905943,0.13738919675795644,0.1927695308189196,0.07357159352705421,0.16425179012481833,0.06572772088745343,0.08538554528052009,0.8339261814618386,0.6063705840053999,0.7552075040448746,0.8814924844824132,0.16410673967415695,0.07327715811681568,0.8337944682505644,-0.004587624246269795,-0.0040020257292682215,-0.00015794348972630878,0.9094435641865463,0.9377499966466801,0.9616962341673985,0.9804741604915916,34,9,3.0,3.409090909090909,0.0,0.0,0.3634119812583669,0.7693656570727354,0.4237838546456264,0.31541571655508016,0.16824746118541195,True
fabv2-internal,fabv2_agent,test,450,133,133,0,48,43,5,0.11976103496208595,0.09718044291753702,0.14156146324319394,0.018524186678789707,0.018524186678789707,0.015569108413339505,0.021136439678844054,0.9766342793204574,0.9766342793204574,0.9613698391581245,0.9865965507910647,0.11921565146962977,0.018509130898824836,0.9770826900343663,-0.00455393102296453,-0.0008127633469656725,0.0004591388234098659,0.9881790370004231,0.9920881829012207,0.9952378388013731,0.9976132363240025,3,1,3.0,2.7708333333333335,0.75,1.0,0.6217576128943239,0.7525177675599866,0.22260002463571787,0.028156589869858813,6.748512279758881e-05,True
cyberbench,mini_sweagent_poc_agent,poc_l0,60,86,86,0,32,16,16,0.2220802804904695,0.15614873763387171,0.28459412482959473,0.15426998838953965,0.15426998838953965,0.12731616381094849,0.18298934685538013,0.6745132143719748,0.6745132143719748,0.4734210297918474,0.7983324268588684,0.21710341918108245,0.15202647377872935,0.6626850447124493,-0.02241019012762202,-0.014542780706933711,-0.017535860539868664,0.8056230414699361,0.861437580418341,0.9119842797895729,0.9539662950470943,150,38,1.5,2.6875,0.0,0.0,0.4016370441750166,0.9115931294604449,0.4634795868303762,0.40936515538053786,0.32334810823211807,True
proof-bench,proof_bench_agent,default,100,73,87,14,50,9,41,0.215522826119973,0.10682727219969,0.2844049846378713,0.18676882265551756,0.1609198181454289,0.1308491551107887,0.239003132592147,0.5711122221815403,0.693221670031477,0.17941712687932704,0.792982775256039,0.2076228721873039,0.1817922396786213,0.5631005305084319,-0.03665483640359979,-0.026645683718182656,-0.014028226611059513,0.7270164589370103,0.7997932574492794,0.8694186475878457,0.9301486841480657,220,55,1.0,1.46,0.0,0.0,0.4285397243331875,0.9859925750520888,0.4698209311937428,0.4249288457094451,0.3524924573785898,True
swebench,mini_sweagent,default,500,68,68,0,57,9,48,0.00100000047705621,0.00024644891235620916,0.12883690370778217,0.19487937860995175,0.19487937860995175,0.13525649949778218,0.22506259755143093,2.633038484102675e-05,2.633038484102675e-05,1.979518493209815e-06,0.4542588819429511,0.0009999972383583629,0.18949539667639675,2.8082941511302593e-05,-3.2386963021435733e-06,-0.027627253185833256,0.066560237568009,5.265938314022992e-05,7.898699500712829e-05,0.00013163805988202805,0.0002632414671680376,239,60,1.0,1.1929824561403508,0.0,0.0,0.515180342122488,0.9990548157989858,0.47107468279634884,0.42801831200799834,0.35836096965523323,True
skillsbench,openhands_skillsbench,with-skills,87,60,60,0,19,17,2,0.11058861698621177,0.06766842236282523,0.15353343136093892,0.0759006574608475,0.0759006574608475,0.057334129755567856,0.09391982404928031,0.6797849361819367,0.6797849361819367,0.44196446238054005,0.815453606389501,0.10474003495671302,0.0753674127087217,0.6566644396400467,-0.05288593156226873,-0.007025561700843785,-0.034011487032572396,0.8093713921819687,0.8642909169300148,0.9139007712006519,0.9550137446544132,37,10,3.0,3.1578947368421053,0.0,0.0,0.6795469948297026,0.9555001601183624,0.4260952326806002,0.32067549953466673,0.17576610521016772,True
cpse-bench,mini_sweagent_cpse,default,1,59,59,0,5,5,0,0.3294801286957114,0.04897448703584845,0.5736826674898081,0.392426181373444,0.392426181373444,0.3152641838588234,0.4536568926979627,0.4134637076350919,0.4134637076350919,0.026259933699742912,0.6800266722840456,0.2763468709006942,0.3881622114138133,0.3505093825814265,-0.16126392206216467,-0.010865661268336657,-0.152260824568493,0.5850361850844693,0.6789493181489286,0.7789870472133248,0.8757647206409521,967,242,12.0,11.8,0.0,0.0,0.32098765432098764,1.0,0.4856261505014653,0.4641061627118157,0.42850230003559525,True
vcb,openhands,default,50,59,64,5,48,10,38,0.2329485771871406,0.0009999975737076446,0.3207436126842188,0.22777817731119843,0.30238994323091906,0.13604471350826047,0.3219106793784134,0.5112208565071045,0.17347504265784486,9.688963579434635e-06,0.8161955352946205,0.22837002305797596,0.22746509641943766,0.48861213133829234,-0.019654784693045935,-0.0013744990650839117,-0.04422496633506956,0.6765667034118268,0.7583222595006567,0.8394752523808662,0.9127334018702542,326,82,1.0,1.2291666666666667,0.0,0.0,0.66431242209993,0.998043270121611,0.4752466490236883,0.4383246150619971,0.3781144906019701,True
programbench,programbench_agent,default,200,51,52,1,46,4,42,0.005560235810203474,,,0.003325434408399009,0.003330514482000575,,,0.7365435738886487,0.7314005681320909,,,,,,,,,0.8482868900770556,0.8934706258337339,0.9332375089442608,0.9654659653835301,1,1,1.0,1.108695652173913,1.0,1.0,1.0,1.0,1.0559560752704138e-05,1.0599548209650295e-26,1.2339465705611228e-100,True
harvey-legal-agent,harvey-labs,default,120,43,43,0,37,4,33,0.06483597476116416,,,0.009260055056332234,0.009260055056332234,,,0.9800094243294807,0.9800094243294807,,,,,,,,,0.9899037977168774,0.9932464701433992,0.9959369059953714,0.997964317412828,1,1,1.0,1.162162162162162,1.0,1.0,0.7118644067796615,1.0,0.06335323328772767,6.7255750500446e-05,1.119528776214455e-14,True
