alibaba/qwen3.7-max,alibaba/qwen3.7-plus,anthropic/claude-fruitcake-eap,anthropic/claude-queso-eap,anthropic/claude-queso-eap-max-effort,anthropic/claude-sonnet-4-6,anthropic/claude-sonnet-5,google/gemini-3.1-flash-lite,google/gemini-3.1-pro-preview,google/gemma-4-31b-it,grok/v9-carrot,grok/v9-potato,grok/v9-stickynote,kimi/kimi-k2.7-code,meta/blue_tower,meta/super_nova_xhigh,minimax/MiniMax-M2.1,minimax/MiniMax-M2.5,minimax/MiniMax-M2.7,minimax/MiniMax-M3,mistralai/mistral-medium-3.5,mistralai/mistral-small-2603,nvidia/nemotron-3-ultra-550b-a55b,openai/gpt-5.4-mini,openai/gpt-5.5,openai/gpt-5.6-luna,openai/iris-alpha-code-mode,openai/kindle-alpha,openai/mercury-alpha,openai/nova-alpha,poolside/laguna-m.1,poolside/laguna-m.1:fast,poolside/laguna-xs.2,poolside/laguna-xs.2:fast,xiaomi/mimo-v2.5,xiaomi/mimo-v2.5-pro,zai/glm-5.1-thinking,zai/glm-5.2
1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,1.000000000000000000e+00,9.117028276997969638e-02,2.136233148205519128e-01,1.713120722160482445e-01,nan,-1.161604638993549432e-01,nan,nan,nan,2.153527608232661539e-01,-6.167939547439611758e-02,2.803059552906940199e-01,-6.167939547439610370e-02,-2.173913043478261156e-02,2.029610352214972213e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.263674800514523799e-01,1.571736533654828905e-01,-1.325085975629266555e-01,3.518657752744983602e-01,1.713120722160482445e-01,nan,nan,nan,-2.173913043478261156e-02,nan,nan,nan,-7.175473098524096094e-02
nan,9.117028276997969638e-02,1.000000000000000000e+00,2.435993828823450058e-01,2.918069599925101065e-01,nan,2.672612419124243965e-01,nan,nan,nan,2.856081629584373838e-01,1.383565709940265676e-01,3.518657752744984712e-01,2.641352718976870961e-01,9.352195295828247268e-02,3.793541303747200444e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.110463165438955291e-01,2.795426231258448246e-01,4.044434703606646919e-01,2.933994099743797990e-01,4.454354031873739572e-01,nan,nan,nan,9.352195295828247268e-02,nan,nan,nan,2.182178902359923622e-01
nan,2.136233148205519128e-01,2.435993828823450058e-01,1.000000000000000000e+00,5.733333333333333615e-01,nan,4.216370213557837920e-01,nan,nan,nan,2.168454370598275893e-01,-2.581988897471610978e-01,1.019294382875250843e-01,2.581988897471612643e-01,2.067245576486808623e-01,3.026768043032830868e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.637981363555518710e-01,3.786726942593882650e-01,4.000000000000000777e-02,1.926812144973351348e-01,2.977325790784217108e-01,nan,nan,nan,2.067245576486808623e-01,nan,nan,nan,3.318060248025013204e-01
nan,1.713120722160482445e-01,2.918069599925101065e-01,5.733333333333333615e-01,1.000000000000000000e+00,nan,4.632055558531007478e-01,nan,nan,nan,4.157346248653722154e-01,2.405721395176876887e-01,3.307727156380790290e-01,2.405721395176876887e-01,-1.215661347709661999e-01,1.372032586885354732e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.718290404220335188e-01,4.801652979103487318e-01,1.436758151344982581e-01,4.195658876293891226e-01,2.150597223603682717e-01,nan,nan,nan,1.678770432551437430e-01,nan,nan,nan,2.836543144655876980e-01
nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.982793795006521975e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.882167573820719531e-01,nan
nan,-1.161604638993549432e-01,2.672612419124243965e-01,4.216370213557837920e-01,4.632055558531007478e-01,nan,1.000000000000000000e+00,nan,nan,nan,4.481426646623499210e-01,2.588414429342564826e-01,2.814984787296511137e-01,2.588414429342564826e-01,-1.166423687039608720e-01,2.577084830561252038e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.000661320993193493e-01,3.595462477533372669e-01,1.809367161139364688e-01,2.150842447720557882e-01,2.500000000000000555e-01,nan,nan,nan,1.749635530559413010e-01,nan,nan,nan,4.082482904638629617e-01
nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,1.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
